永遠のみどり	永遠のみどり
楢、欅、木蘭、……あ、これだったのかしら、久しく恋していたものに、めぐりあったように心がふくらむ。	楢、欅、木蘭、……あ、これだつたのかしら、久しく恋してゐたものに、めぐりあつたやうに心がふくらむ。
……だが、微力な作家の暗澹たる予想は、ここへ移っても少しも変ってはいなかった。	……だが、微力な作家の暗澹たる予想は、ここへ移つても少しも変つてはゐなかつた。
二年前、彼が広島の土地を売って得た金が、まだほんの少し手許に残っていた。	二年前、彼が広島の土地を売つて得た金が、まだほんの少し手許に残つてゐた。
それはこのさき三、四ヵ月生きてゆける計算だった。	それはこのさき三、四ヶ月生きてゆける計算だつた。
彼はこの頃また、あの「怪物」の比喩を頻りに想い出すのだった。	彼はこの頃また、あの「怪物」の比喩を頻りに想ひ出すのだつた。
非力な戦災者を絶えず窮死に追いつめ、何もかも奪いとってしまおうとする怪物にむかって、彼は広島の焼跡の地所を叩きつけて逃げたつもりだった。	非力な戦災者を絶えず窮死に追ひつめ、何もかも奪ひとつてしまはうとする怪物にむかつて、彼は広島の焼跡の地所を叩きつけて逃げたつもりだつた。
これだけ怪物の口へ与えておけば、あと一年位は生きのびることができる。	これだけ怪物の口に与へておけば、あと一年位は生きのびることができる。
彼は地所を売って得た金を手にして、その頃、昂然とこう考えた。	彼は地所を売つて得た金を手にして、その頃、昂然とかう考へた。
すると、怪物はふと、おもむろに追求の手を変えたのだ。	すると、怪物はふと、おもむろに追求の手を変へたのだ。
彼の原稿が少しずつ売れたり、原子爆弾の体験を書いた作品が、一部の人に認められて、単行本になったりした。	彼の原稿が少しづつ売れたり、原子爆弾の体験を書いた作品が、一部の人に認められて、単行本になつたりした。
彼はどうやら二年間無事に生きのびることができた。	彼はどうやら二年間無事に生きのびることができた。
だが、怪物は決して追求の手をゆるめたのではなかった。	だが、怪物は決して追求の手をゆるめたのではなかつた。
再びその貌が間近に現れたとき、彼はもう相手に叩き与える何ものも無く、今は逃亡手段も殆ど見出せない破滅に陥っていた。	再びその貌が真近かに現れたとき、彼はもう相手に叩き与へる何ものも無く、今は逃亡手段も殆ど見出せない破目に陥つてゐた。
「君はもう死んだっていいじゃないか。	「君はもう死んだつていいぢやないか。
何をおずおずするのだ」	何をおづおづするのだ」
特殊潜水艦の搭乗員だった若い友人は酔っぱらうと彼にむかって、こんなことを云った。	特殊潜水艦の搭乗員だつた若い友人は酔ぱらふと彼にむかつて、こんなことを云つた。
虚しく屠られてしまった無数の哀しい生命にくらべれば、窮地に追詰められてはいても、とにかく彼の方が幸かもしれなかった。	虚しく屠られてしまつた無数の哀しい生命にくらべれば、窮地に追い詰められてはゐても、とにかく彼の方が幸かもしれなかつた。
天が彼を無用の人間として葬るなら、止むを得ないだろう。	天が彼を無用の人間として葬るなら、止むを得ないだらう。
ガード近くの叢で見た犬の死骸はときどき彼の脳裏に閃いた。	ガード近くの叢で見た犬の死骸はときどき彼の脳裏に閃めいた。
死ぬ前にもう一度、という言葉が、どうかするとすぐ浮んだ。	死ぬ前にもう一度、といふ言葉が、どうかするとすぐ浮んだ。
が、それを否定するように激しく頭を振っていた。	が、それを否定するやうに激しく頭を振つてゐた。
しかし、もう一度、彼は郷里に行ってみたかったのだ。	しかし、もう一度、彼は郷里に行つてみたかつたのだ。
かねて彼は作家のＭから、こんど行われる、日本ペンクラブの「広島の会」に同行しないかと誘われていた。	かねて彼は作家のＭから、こんど行はれる、日本ペンクラブの「広島の会」に同行しないかと誘はれてゐた。
広島の兄からは、間近に迫った甥の結婚式に戻って来ないかと問合せの手紙が来ていた。	広島の兄からは、間近かに迫つた甥の結婚式に戻つて来ないかと問合せの手紙が来てゐた。
倉敷の妹からも、その途中彼に立寄ってくれと云って来た。	倉敷の妹からも、その途中彼に立寄つてくれと云つて来た。
だが、旅費のことで彼はまだ何ともはっきり決心がつかなかった。	だが、旅費のことで彼はまだ何ともはつきり決心がつかなかつた。
ある日、彼はすぐ近くにある、井ノ頭公園の中へはじめて足を踏込んでみた。	ある日、彼はすぐ近くにある、井ノ頭公園の中へはじめて足を踏込んでみた。
ずっと前に妻と一度ここへ遊んだことがあったが、その時の甘い記憶があまりに鮮明だったので、何かここを再び訪ねるのが躊躇されていたのだった。	ずつと前に妻と一度ここへ遊んだことがあつたが、その時の甘い記憶があまりに鮮明だつたので、何かここを再び訪ねるのが躊躇されてゐたのだつた。
薄暗い並木の下の路を這入って行くと、すぐ眼の前に糠のように小さな虫の群が渦巻いていた。	薄暗い並木の下の路を這入つて行くと、すぐ眼の前に糠のやうに小さな虫の群が渦巻いてゐた。
彼は池のほとりに出ると、水を眺めながら、ぐるぐる歩いた。	彼は池のほとりに出ると、水を眺めながら、ぐるぐる歩いた。
水のなかの浮草は新しい蔓を張り、そのなかをおたまじゃくしが泳ぎ廻っている。	水のなかの浮草は新しい蔓を張り、そのなかを、おたまじやくしが泳ぎ廻つてゐる。
なみなみと満ち溢れる明るいものが頻りに感じられるのだった。	なみなみと満ち溢れる明るいものが頻りに感じられるのだつた。
彼が日に一度はそこを通る樹木の多い路は、日毎に春らしく移りかわっていた。	彼が日に一度はそこを通る樹木の多い路は、日毎に春らしく移りかはつてゐた。
枝についた新芽にそそぐ陽の光を見ただけでも、それは酒のように彼を酔わせた。	枝についた新芽にそそぐ陽の光を見ただけでも、それは酒のやうに彼を酔はせた。
最も微妙な音楽がそこから溢れでるような気持がした。	最も微妙な音楽がそこから溢れでるやうな気持がした。
とおうい　とおうい　あまぎりいいす	とおうい　とおうい　あまぎりいいす
朝がふたたび　みどり色にそまり	朝がふたたび　みどり色にそまり
ふくらんでゆく蕾のぐらすに	ふくらんでゆく蕾のぐらすに
やさしげな予感がうつってはいないか	やさしげな予感がうつつてはゐないか
少年の胸には　朝ごとに窓　窓がひらかれた	少年の胸には　朝ごとに窓窓がひらかれた
その窓からのぞいている　遠い私よ	その窓からのぞいてゐる　遠い私よ
これは二年前、彼が広島に行ったとき、何気なくノートに書きしるしておいたものである。	これは二年前、彼が広島に行つたとき、何気なくノートに書きしるしておいたものである。
郷愁が彼の心を噛んだ。	郷愁が彼の心を噛んだ。
甥の結婚式には間にあわなかったが、こんどのペンクラブ「広島の会」には、どうしても出掛けようと思った。	甥の結婚式には間にあはなかつたが、こんどのペンクラブ「広島の会」には、どうしても出掛ようと思つた。
……彼は舟入川口町の姉の家にある一枚の写真を忘れなかった。	……彼は舟入川口町の姉の家にある一枚の写真を忘れなかつた。
それは彼が少年の頃、死別れた一人の姉の写真だったが、葡萄棚の下に佇んでいる、もの柔かい少女の姿が、今もしきりに懐しかった。	それは彼が少年の頃、死別れた一人の姉の写真だつたが、葡萄棚の下に佇んでゐる、もの柔かい少女の姿が、今もしきりに懐かしかつた。
そうだ、こんど広島へ行ったら、あの写真を借りてもどろう――そういう突飛なおもいつきが、更に彼の郷愁を煽るのだった。	さうだ、こんど広島へ行つたら、あの写真を借りてもどらう――さういふ突飛なおもひつきが更らに彼の郷愁を煽るのだつた。
ある日、彼は友人から、少年向の単行本の相談をうけた。	ある日、彼は友人から、少年向の単行本の相談をうけた。
それは確実な出版社の企画で、その仕事をなしとげれば彼にとっては六ヵ月位の生活が保証される見込だった。	それは確実な出版社の企画で、その仕事をなしとげれば彼にとつては六ヶ月位の生活が保証される見込だつた。
急に目さきが明るくなって来たおもいだった。	急に目さきが明るくなつて来たおもひだつた。
その仕事で金が貰えるのは、六ヵ月位あとのことだから、それまでの食いつなぎのために、彼は広島の兄に借金を申込むつもりにした。	その仕事で金が貰へるのは、六ヶ月位あとのことだから、それまでの食ひつなぎのために、彼は広島の兄に借金を申込むつもりにした。
……倉敷の姪たちへの土産ものを買いながら、彼は何となく心が弾んだ。	……倉敷の姪たちへの土産ものを買ひながら、彼はなんとなく心が弾んだ。
少女の好みそうなものを撰んでいると、やさしい交流が遠くに感じられた。	少女の好みさうなものを選んでゐると、やさしい交流が遠くに感じられた。
……それは恋というのではなかったが、彼は昨年の夏以来、ある優しいものによって揺すぶられていた。	……それは恋といふのではなかつたが、彼は昨年の夏以来、ある優しいものによつて揺すぶられてゐた。
ふとしたことから知りあいになった、Ｕという二十二になるお嬢さんは、彼にとって不思議な存在になった。	ふとしたことから知りあひになつた、Ｕといふ二十二になるお嬢さんは、彼にとつて不思議な存在になつた。
最初の頃、その顔は眩しいように彼を戦かせ、一緒にいるのが何か呼吸苦しかった。	最初の頃、その顔は眩しいやうに彼を戦かせ、一緒にゐるのが何か呼吸苦しかつた。
が、馴れるに随って、彼のなかの苦しいものは除かれて行ったが、何度逢っても、繊細で清楚な鋭い感じは変らなかった。	が、馴れるに随つて、彼のなかの苦しいものは除かれて行つたが、何度逢つても、繊細で清楚な鋭い感じは変らなかつた。
彼はそのことを口に出して讃めた。	彼はそのことを口に出して讃めた。
すると、タイピストのお嬢さんは云うのだった。	すると、タイピストのお嬢さんは云ふのだつた。
「女の心をそんな風に美しくばかり考えるのは間違いでしょう。	「女の心をそんな風に美しくばかり考へるのは間違ひでせう。
それに、美はすぐうつろいますわ」	それに、美はすぐにうつろひますわ」
彼は側にいる、この優雅な少女が、戦時中、十文字に襷をかけて挺身隊にいたということを、きいただけでも何か痛々しい感じがした。	彼は側にゐる、この優雅な少女が、戦時中、十文字に襷をかけて挺身隊にゐたといふことを、きいただけでも何か痛々しい感じがした。
一緒にお茶を飲んだり、散歩している時、声や表情にパッと新鮮な閃きがあった。	一緒にお茶を飲んだり、散歩してゐる時、声や表情にパツと新鮮な閃めきがあつた。
二十二歳といえば、彼が結婚した時の妻の年齢であった。	二十二歳といへば彼が結婚した時の妻の年齢であつた。
「とにかく、あなたは懐しいひとだ。	「とにかく、あなたは懐しいひとだ。
懐しいひととして憶えておきたい」	懐しいひととして憶えておきたい」
神田を引あげる前の晩、彼が部屋中を荷物で散らかしていると、Ｕは窓の外から声をかけた。	神田を引あげる前の晩、彼が部屋中を荷物で散らかしてゐると、Ｕは窓の外から声をかけた。
彼はすぐ外に出て一緒に散歩した。	彼はすぐ外に出て一緒に散歩した。
吉祥寺に移ってからは、逢う機会もなかった。	吉祥寺に移つてからは、逢ふ機会もなかつた。
が、広島へ持って行くカバンのなかに、彼はお嬢さんの写真をそっと入れておいた。	が、広島へ持つて行くカバンのなかに、彼はお嬢さんの写真をそつと入れておいた。
……ペンクラブの一行とは広島で落合うことにして、彼は一足さきに東京を出発した。	……ペンクラブの一行とは広島で落合ふことにして彼は一足さきに東京を出発した。
倉敷駅の改札口を出ると、小さな犬を抱えている女の児が目についた。	倉敷駅の改札口を出ると、小さな犬を抱へてゐる女の児が目についた。
と、その女の児は黙って彼にお辞儀した。	と、その女の児は黙つて彼にお辞儀した。
暫く見なかった間に小さな姪はどこか子供の頃の妹の顔つきと似てきた。	暫く見なかつた間に小さな姪はどこか子供の頃の妹の顔つきと似てきた。
「お母さんは今ちょっと出かけていますから」と、小さな姪は勝手口から上って、玄関の戸を内から開けてくれた。	「お母さんは今ちよつと出かけてゐますから」と、小さな姪は勝手口から上つて、玄関の戸を内から開けてくれた。
その座敷の机の上には黄色い箱の外国煙草が置いてあった。	その座敷の机の上には黄色い箱の外国煙草が置いてあつた。
「どうぞ、お吸いなさい」と姪はマッチを持ってくると、これで役目をはたしたように外に出て行った。	「どうぞ、お吸ひなさい」と姪はマツチを持つてくると、これで役目をはたしたやうに外に出て行つた。
彼は壁際によって、そこの窓を開けてみた。	彼は壁際によつて、そこの窓を開けてみた。
窓のすぐ下に花畑があって、スミレ、雛菊、チューリップなどが咲き揃っていた。	窓のすぐ下に花畑があつて、スミレ、雛菊、チユーリツプなどが咲き揃つてゐた。
色彩の渦にしばらく見とれていると、表から妹が戻って来た。	色彩の渦にしばらく見とれてゐると、表から妹が戻つて来た。
すると小さな姪は母親の側にやって来て、ぺったり坐っていた。	すると小さな姪は母親の側にやつて来て、ぺつたり坐つてゐた。
大きい方の姪はまだ戻って来なかったが、彼が土産の品を取出すと、「まあ、こんなものを買うとき、やっぱし、あなたも娯しいのでしょう」と妹は手にとって笑った。	大きい方の姪はまだ戻つて来なかつたが、彼が土産の品を取出すと、「まあ、こんなものを買ふとき、やつぱし、あなたも娯しいのでせう」と妹は手にとつて笑つた。
「とてもいいところから貰えて、みんな満足のようでした」	「とてもいいところから貰へて、みんな満足のやうでした」
先日の甥の結婚式の模様を妹はこまごまと話しだした。	先日の甥の結婚式の模様を妹はこまごまと話しだした。
「式のとき、あなたの噂も出ましたよ。	「式のとき、あなたの噂も出ましたよ。
あれはもう東京で、ちゃんといいひとがあるらしい、とみんなそう云っていました」	あれはもう東京で、ちやんといいひとがあるらしい、とみんなさう云つてゐました」
急に彼はおかしくなった。	急に彼はをかしくなつた。
妻と死別してもう七年になるので、知人の間でとかく揶揄や嘲笑が絶えないのを彼は知っていた。	妻と死別してもう七年になるので、知人の間でとかく揶揄や嘲笑が絶えないのを彼は知つてゐた。
……妹が夕飯の支度にとりかかると、彼は応接室の方へ行ってピアノの前に腰を下ろした。	……妹が夕飯の仕度にとりかかると、彼は応接室の方へ行つてピアノの前に腰を下した。
そのピアノは昔、妹が女学生の頃、広島の家の座敷に据えてあったものだ。	そのピアノは昔、妹が女学生の頃、広島の家の座敷に据ゑてあつたものだ。
彼はピアノの蓋をあけて、ふとキイに触ってみた。	彼はピアノの蓋をあけて、ふとキイに触つてみた。
暫く無意味な音を叩いていると、そこへ中学生の姪が姿を現した。	暫く無意味な音を叩いてゐると、そこへ中学生の姪が姿を現した。
すっかり少女らしくなった姿が彼の眼にひどく珍しかった。	すつかり少女らしくなつた姿が彼の眼にひどく珍しかつた。
「何か弾いてきかせて下さい」と彼が頼むと、姪はピアノの上の楽譜をあれこれ捜し廻っていた。	「何か弾いてきかせて下さい」と彼が頼むと、姪はピアノの上に楽譜をあれこれ捜し廻つてゐた。
「この『エリーゼのために』にしましょうか」と云いながら、また別の楽譜をとりだして彼に示しては、「これはまだ弾けません」とわざわざ断ったりする。	「この『エリーゼのために』にしませうか」と云ひながら、また別の楽譜をとりだして彼に示しては、「これはまだ弾けません」とわざわざ断つたりする。
その忙しげな動作は躊躇に充ちて危うげだったが、やがて、エリーゼの楽譜に眼を据えると、指はたしかな音を弾いていた。	その忙しげな動作は躊躇に充ちて危ふげだつたが、やがて、エリーゼの楽譜に眼を据ゑると、指はたしかな音を弾いてゐた。
翌朝、彼が眼をさますと、枕頭に小さな熊や家鴨の玩具が並べてあった。	翌朝、彼が眼をさますと、枕頭に小さな熊や家鴨の玩具が並べてあつた。
姪たちのいたずらかと思って、そのことを云うと、「あなたが淋しいだろうとおもって、慰めてあげたのです」と妹は笑いだした。	姪たちのいたづらかと思つて、そのことを云ふと、「あなたが淋しいだらうとおもつて、慰めてあげたのです」と妹は笑ひだした。
その日の午後、彼は姪に見送られて汽車に乗った。	その日の午后、彼は姪に見送られて汽車に乗つた。
各駅停車のその列車は地方色に染まり、窓の外の眺めものんびりしていたが、尾道の海が見えて来ると、久し振りに見る明るい緑の色にふと彼は惹きつけられた。	各駅停車のその列車は地方色に染まり、窓の外の眺めも、のんびりしてゐたが、尾道の海が見えて来ると、久振りに見る明るい緑の色にふと彼は惹きつけられた。
それから、彼の眼は何かをむさぼるように、だんだん窓の外の景色に集中していた。	それから、彼の眼は何かをむさぼるやうに、だんだん窓の外の景色に集中してゐた。
彼は妻と死別れてから、これまで何度も妻の郷里を訪ねていた。	彼は妻と死別れてから、これまで何度も妻の郷里を訪ねてゐた。
それは妻の出生にまで溯って、失われた時間を、心のなかに、もう一度とりかえしたいような、漠とした気持からだったが、その妻の生れた土地ももう間近にあった。	それは妻の出生にまで遡つて、失はれた時間を、心のなかに、もう一度とりかへしたいやうな、漠とした気持からだつたが、その妻の生れた土地ももう間近かにあつた。
……本郷駅で下車すると、亡妻の家に立寄った。	……本郷駅で下車すると、亡妻の家に立寄つた。
その日の夕方、その家のタイル張りの湯にひたると、その風呂にはじめて妻に案内されて入った時のことがすぐ甦った。	その日の夕方、その家のタイル張りの湯にひたると、その風呂にはじめて妻に案内されて入つた時のことがすぐ甦つた。
あれから、どれだけの時間が流れたのだろう、と、いつも思うことが繰返された。	あれから、どれだけの時間が流れたのだらう、と、いつも思ふことが繰返された。
翌日の夕方、彼は広島駅で下車すると、まっすぐに幟町の方へ歩いて行った。	翌日の夕方、彼は広島駅で下車すると、まつすぐに幟町の方へ歩いて行つた。
道路に面したガラス窓から何気なく内側を覗くと、ぼんやりと兄の顔が見え、兄は手真似で向うへ廻れと合図した。	道路に面したガラス窓から何気なく内側を覗くと、ぼんやりと兄の顔が見え、兄は手真似で向へ廻れと合図した。
ふと彼はそこは新しく建った工場で、家の玄関の入口はその横手にあるのに気づいた。	ふと彼はそこは新しく建つた工場で家の玄関の入口はその横手にあるのに気づいた。
「よお、だいぶ景気がよさそうですね」	「よお、だいぶ景気がよささうですね」
甥がニコニコしながら声をかけた。	甥がニコニコしながら声をかけた。
その甥の背後にくっつくようにして、はじめて見る、快活そうな細君がいた。	その甥の背後にくつつくやうにして、はじめて見る、快活さうな細君がゐた。
彼は明日こちらへ到着するペンクラブのことが、新聞にかなり大きく扱われていて、彼のことまで郷土出身の作家として紹介してあるのを、この家に来て知った。	彼は明日こちらへ到着するペンクラブのことが新聞にかなり大きく扱はれてゐて、彼のことまで郷土出身の作家として紹介してあるのを、この家に来て知つた。
「原子爆弾を食う男だな」と兄は食卓で軽口を云いだした。	「原子爆弾を食ふ男だな」と兄は食卓で軽口を云ひだした。
が、少し飲んだビールで忽ち兄は皮膚に痒みを発していた。	が、少し飲んだビールで忽ち兄は皮膚に痒みを発してゐた。
「こちらは喰われる方で……こないだも腹の皮をメスで剥がれた」	「こちらは喰はれる方で……こないだも腹の皮をメスで剥がれた」
原子爆弾症かどうかは不明だったが、近頃になって、兄は皮膚がやたらに痒くて困っていた。	原子爆弾症かどうかは不明だつたが、近頃になつて、兄は皮膚がやたらに痒くて困つてゐた。
Ａ・Ｂ・Ｃ・Ｃ（原子爆弾影響研究所）で診察して貰うと、皮膚の一部を切とって、研究のため、本国へ送られたというのである。	Ａ・Ｂ・Ｃ・Ｃ（原子爆弾影響研究所）で診察して貰ふと、皮膚の一部を切とつて、研究のため、本国へ送られたといふのである。
この前見た時にくらべると、兄の顔色は憔悴していた。	この前見た時にくらべると、兄の顔色は憔悴してゐた。
すぐ側に若夫婦がいるためか、嫂の顔も年寄めいていた。	すぐ側に若夫婦がゐるためか、嫂の顔も年寄めいてゐた。
夜遅く彼は下駄をつっかけて裏の物置部屋を訪ねてみた。	夜遅く彼は下駄をつつかけて裏の物置部屋を訪ねてみた。
ここにはシベリアから還った弟夫婦が住居しているのだった。	ここにはシベリアから還つた弟夫婦が住居してゐるのだつた。
翌朝、彼が縁側でぼんやり佇んでいると、畑のなかを、朝餉の一働きに、肥桶を担いでゆく兄の姿が見かけられた。	翌朝、彼が縁側でぼんやり佇んでゐると、畑のなかを、朝餉前の一働きに、肥桶を担いでゆく兄の姿が見かけられた。
今、彼のすぐ眼の前の地面に金盞花や矢車草の花が咲き、それから向うの麦畑のなかに一本の梨の木が真白に花をつけていた。	今、彼のすぐ眼の前の地面に金盞花や矢車草の花が咲き、それから向の麦畑のなかに一本の梨の木が真白に花をつけてゐた。
二年前彼がこの家に立寄った時には麦畑の向うの道路がまる見えだったが、今は黒い木塀がめぐらされている。	二年前彼がこの家に立寄つた時には麦畑の向の道路がまる見えだつたが、今は黒い木塀がめぐらされてゐる。
表通りに小さな縫工場が建ったので、この家も少し奥まった感じになった。	表通りに小さな縫工場が建つたので、この家も少し奥まつた感じになつた。
が、焼ける前の昔の面影を偲ばすものは、嘗て庭だったところに残っている築山の岩と、麦畑のなかに見える井戸ぐらいのものだ。	が、焼ける前の昔の面影を偲ばすものは、嘗て庭だつたところに残つてゐる築山の岩と、麦畑のなかに見える井戸ぐらゐのものだ。
彼はあの惨劇の朝の一瞬のことも、自分がいた場の状況も、記憶のなかではひどくはっきりしていた。	彼はあの惨劇の朝の一瞬のことも、自分がゐた場の状況も、記憶のなかではひどくはつきりしてゐた。
火の手が見えだして、そこから逃げだすとき、庭の隅に根元から、ぽっくり折れ曲って青い枝を手洗鉢に突込んでいた楓の生々しい姿は、あの家の最後のイメージとして彼の目に残っている。	火の手が見えだして、そこから逃げだすとき、庭の隅に根元から、ぽつくり折れ曲つて青い枝を手洗鉢に突込んでゐた楓の生々しい姿は、あの家の最後のイメージとして彼の目に残つてゐる。
それから壊滅後一カ月あまりして、はじめてこの辺にやって来てみると、一めんの燃えがらのなかに、赤く錆びた金庫が突立っていて、その脇に木の立札が立っていた。	それから壊滅後一ヶ月あまりして、はじめてこの辺にやつて来てみると、一めんの燃えがらのなかに、赤く錆びた金庫が突立つてゐて、その脇に木の立札が立つてゐた。
これもまだ克明に目に残っている。	これもまだ刻明に目に残つてゐる。
それから、彼が東京からはじめてこの新築の家へ訪ねた時も、その頃はまだ人家も疎らで残骸はあちこちに眺められた。	それから、彼が東京からはじめてこの新築の家へ訪ねた時も、その頃はまだ人家も疎らで残骸はあちこちに眺められた。
その頃からくらべると、今この辺は見違えるほど街らしくなっているのだった。	その頃からくらべると、今この辺は見違へるほど街らしくなつてゐるのだつた。
午後、ペンクラブの到着を迎えるため広島駅に行くと、降車口には街の出迎えらしい人々が大勢集っていた。	午后、ペンクラブの到着を迎へるため広島駅に行くと、降車口には街の出迎へらしい人々が大勢集つてゐた。
が、やがて汽車が着くと、人々はみんな駅長室の方へ行きだした。	が、やがて汽車が着くと、人々はみんな駅長室の方へ行きだした。
彼も人々について、そちら側へ廻った。	彼も人々について、そちら側へ廻つた。
大勢の人々のなかからＭの顔はすぐ目についた。	大勢の人々のなかからＭの顔はすぐ目についた。
そこには、彼の顔見知りの作家も二三いた。	そこには、彼の顔見知りの作家も二三ゐた。
やがて、この一行に加わって彼も市内見物のバスに乗ったのである。	やがて、この一行に加はつて彼も市内見物のバスに乗つたのである。
……バスは比治山の上で停り、そこから市内は一目に見渡せた。	……バスは比治山の上で停まり、そこから市内は一目に見渡せた。
すぐ叢のなかを雑嚢をかけた浮浪児がごそごそしている。	すぐ叢のなかを雑嚢をかけた浮浪児がごぞごそしてゐる。
それが彼の眼には異様におもえた。	それが彼の目には異様におもへた。
それからバスは瓦斯会社の前で停った。	それからバスは瓦斯会社の前で停まつた。
大きなガスタンクの黝んだ面に、原爆の光線の跡が一つの白い梯子の影となって残っている。	大きなガスタンクの黝んだ面に、原爆の光線の跡が一つの白い梯子の影となつて残つてゐる。
このガスタンクも彼には子供の頃から見馴れていたものなのだ。	このガスタンクも彼には子供の頃から見馴れてゐたものなのだ。
……バスは御幸橋を渡り、日赤病院に到着した。	……バスは御幸橋を渡り、日赤病院に到着した。
原爆患者第一号の姿は、脊の火傷の跡の光沢や、左手の爪が赤く凝結しているのが標本か何かのようであった。	原爆患者第一号の姿は、背の火傷の跡の光沢や、左手の爪が赤く凝結してゐるのが標本か何かのやうであつた。
……市役所・国泰寺・大阪銀行・広島城跡を見物して、バスは産業奨励館の側に停った。	……市役所・国秦寺・大阪銀行・広島城跡を見物して、バスは産業奨励館の側に停まつた。
