猿面冠者	猿面冠者
たいてい彼は、夜、蒲団のなかにもぐってから、眼をぱちぱちさせたり、にやにや笑ったり、せきをしたり、ぶつぶつわけのわからぬことを呟いたりして、夜明けちかくまでかかってひとつの短篇をまとめる。	たいてい彼は、夜、蒲團のなかにもぐつてから、眼をぱちぱちさせたり、にやにや笑つたり、せきをしたり、ぶつぶつわけのわからぬことを呟いたりして、夜明けちかくまでかかつてひとつの短篇をまとめる。
傑作だと思う。	傑作だと思ふ。
それからまた彼は、書きだしの文章を置きかえてみたり、むすびの文字を再吟味してみたりして、その胸のなかの傑作をゆっくりゆっくり撫でまわしてみるのである。	それからまた彼は、書きだしの文章を置きかへてみたり、むすびの文字を再吟味してみたりして、その胸のなかの傑作をゆつくりゆつくり撫でまはしてみるのである。
そのへんで眠れたらいいのであるが、いままでの経験からしてそんなに工合いがよくいったことはいちどもなかったという。	そのへんで眠れたらいいのであるが、いままでの經驗からしてそんなに工合ひがよくいつたことはいちどもなかつたといふ。
そのつぎに彼は、その短篇についての批評をこころみるのである。	そのつぎに彼は、その短篇についての批評をこころみるのである。
誰々は、このような言葉でもってほめて呉れる。	誰々は、このやうな言葉でもつてほめて呉れる。
誰々は、判らぬながらも、この辺の一箇所をぽつんと突いて、おのれの慧眼を誇る。	誰々は、判らぬながらも、この邊の一箇所をぽつんと突いて、おのれの慧眼を誇る。
けれども、おれならば、こう言う。	けれども、おれならば、かう言ふ。
男は、自分の作品についてのおそらくはいちばん適確な評論を組みたてはじめる。	男は、自分の作品についてのおそらくはいちばん適確な評論を組みたてはじめる。
この作品の唯一の汚点は、などと心のなかで呟くようになると、もう彼の傑作はあとかたもなく消えうせている。	この作品の唯一の汚點は、などと心のなかで呟くやうになると、もう彼の傑作はあとかたもなく消えうせてゐる。
男は、なおも眼をぱちぱちさせながら、雨戸のすきまから漏れて来る明るい光線を眺めて、すこし間抜けづらになる。	男は、なほも眼をぱちぱちさせながら、雨戸のすきまから漏れて來る明るい光線を眺めて、すこし間拔けづらになる。
そのうちにうつらうつらまどろむのである。	そのうちにうつらうつらまどろむのである。
けれども、これは問題に対してただしく答えていない。	けれども、これは問題に對してただしく答へてゐない。
問題は、もし書いたとしたなら、というのである。	問題は、もし書いたとしたなら、といふのである。
ここにあります、と言って、ぽんと胸をたたいて見せるのは、なにやら水際だっていいようであるが、聞く相手にしては、たちのわるい冗談としか受けとれまい。	ここにあります、と言つて、ぽんと胸をたたいて見せるのは、なにやら水際だつていいやうであるが、聞く相手にしては、たちのわるい冗談としか受けとれまい。
まして、この男の胸は、扁平胸といって生れながらに醜くおしつぶされた形なのであるから、傑作は胸のうちにありますという彼のそのせいいっぱいの言葉も、いよいよ芸がないことになる。	まして、この男の胸は、扁平胸といつて生れながらに醜くおしつぶされた形なのであるから、傑作は胸のうちにありますといふ彼のそのせいいつぱいの言葉も、いよいよ藝がないことになる。
こんなことからしても、彼が一行も書けぬだろうという解答のどんなに安易であるかが判るのである。	こんなことからしても、彼が一行も書けぬだらうといふ解答のどんなに安易であるかが判るのである。
もし書いたとしたなら、というのである。	もし書いたとしたなら、といふのである。
問題をもっと考えよくするために、彼のどうしても小説を書かねばならぬ具体的な環境を簡単にこしらえあげてみてもよい。	問題をもつと考へよくするために、彼のどうしても小説を書かねばならぬ具體的な環境を簡單にこしらへあげてみてもよい。
たとえばこの男は、しばしば学校を落第し、いまは彼のふるさとのひとたちに、たからもの、という蔭口をきかれている身分であって、ことし一年で学校を卒業しなければ、彼の家のほうでも親戚のものたちへの手前、月々の送金を停止するというあんばいになっていたとする。	たとへばこの男は、しばしば學校を落第し、いまは彼のふるさとのひとたちに、たからもの、といふ蔭口をきかれてゐる身分であつて、ことし一年で學校を卒業しなければ、彼の家のはうでも親戚のものたちへの手前、月々の送金を停止するといふあんばいになつてゐたとする。
また仮にその男が、ことし一年で卒業できそうもないばかりか、どだい卒業しようとする腹がなかったとしたなら、どうであろう。	また假にその男が、ことし一年で卒業できさうもないばかりか、どだい卒業しようとする腹がなかつたとしたなら、どうであらう。
問題をさらに考えよくするために、この男がいま独身でないということにしよう。	問題をさらに考へよくするために、この男がいま獨身でないといふことにしよう。
四五年もまえからの妻帯者である。	四五年もまへからの妻帶者である。
しかも彼のその妻というのは、とにかく育ちのいやしい女で、彼はこの結婚によって、叔母ひとりを除いたほかのすべての肉親に捨てられたという、月並みのロマンスを匂わせて置いてもよい。	しかも彼のその妻といふのは、とにかく育ちのいやしい女で、彼はこの結婚によつて、叔母ひとりを除いたほかのすべての肉親に捨てられたといふ、月並みのロマンスを匂はせて置いてもよい。
さて、このような境遇の男が、やがて来る自鬻の生活のために、どうしても小説を書かねばいけなくなったとする。	さて、このやうな境遇の男が、やがて來る自鬻の生活のために、どうしても小説を書かねばいけなくなつたとする。
しかし、これも唐突である。	しかし、これも唐突である。
乱暴でさえある。	亂暴でさへある。
生活のためには、必ずしも小説を書かねばいけないときまって居らぬ。	生活のためには、必ずしも小説を書かねばいけないときまつて居らぬ。
牛乳配達にでもなればいいじゃないか。	牛乳配達にでもなればいいぢやないか。
しかし、それは簡単に反駁され得る。	しかし、それは簡單に反駁され得る。
乗りかかった船、という一言でもって充分であろう。	乘りかかつた船、といふ一言でもつて充分であらう。
いま日本では、文芸復興とかいう訳のわからぬ言葉が声高く叫ばれていて、いちまい五十銭の稿料でもって新作家を捜しているそうである。	いま日本では、文藝復興とかいふ譯のわからぬ言葉が聲高く叫ばれてゐて、いちまい五十錢の稿料でもつて新作家を搜してゐるさうである。
この男もまた、この機を逃さず、とばかりに原稿用紙に向った、とたんに彼は書けなくなっていたという。	この男もまた、この機を逃さず、とばかりに原稿用紙に向つた、とたんに彼は書けなくなつてゐたといふ。
ああ、もう三日、早かったならば。	ああ、もう三日、早かつたならば。
或いは彼も、あふれる情熱にわななきつつ十枚二十枚を夢のうちに書き飛ばしたかも知れぬ。	或ひは彼も、あふれる情熱にわななきつつ十枚二十枚を夢のうちに書き飛ばしたかも知れぬ。
毎夜、毎夜、傑作の幻影が彼のうすっぺらな胸を騒がせては呉れるのであったが、書こうとすれば、みんなはかなく消えうせた。	毎夜、毎夜、傑作の幻影が彼のうすつぺらな胸を騷がせては呉れるのであつたが、書かうとすれば、みんなはかなく消えうせた。
だまって居れば名を呼ぶし、近寄って行けば逃げ去るのだ。	だまつて居れば名を呼ぶし、近寄つて行けば逃げ去るのだ。
メリメは猫と女のほかに、もうひとつの名詞を忘れている。	メリメは猫と女のほかに、もうひとつの名詞を忘れてゐる。
傑作の幻影という重大な名詞を！	傑作の幻影といふ重大な名詞を！
男は奇妙な決心をした。	男は奇妙な決心をした。
彼の部屋の押入をかきまわしたのである。	彼の部屋の押入をかきまはしたのである。
その押入の隅には、彼が十年このかた、有頂天な歓喜をもって書き綴った千枚ほどの原稿が曰くありげに積まれてあるのだそうである。	その押入の隅には、彼が十年このかた、有頂天な歡喜をもつて書き綴つた千枚ほどの原稿が曰くありげに積まれてあるのださうである。
それを片っぱしから読んでいった。	それを片つぱしから讀んでいつた。
ときどき頬をあからめた。	ときどき頬をあからめた。
二日かかって、それを全部読みおえて、それから、まる一日ぼんやりした。	二日かかつて、それを全部讀みをへて、それから、まる一日ぼんやりした。
そのなかの「通信」という短篇が頭にのこった。	そのなかの「通信」といふ短篇が頭にのこつた。
それは、二十六枚の短篇小説であって、主人公が困っているとき、どこからか差出人不明の通信が来てその主人公をたすける、という物語であった。	それは、二十六枚の短篇小説であつて、主人公が困つてゐるとき、どこからか差出人不明の通信が來てその主人公をたすける、といふ物語であつた。
男が、この短篇にことさら心をひかれたわけは、いまの自分こそ、そんなよい通信を受けたいものだと思ったからであろう。	男が、この短篇にことさら心をひかれたわけは、いまの自分こそ、そんなよい通信を受けたいものだと思つたからであらう。
これを、なんとかしてうまく書き直してごまかそうと決心したのである。	これを、なんとかしてうまく書き直してごまかさうと決心したのである。
まず書き直さねばいけないところは、この主人公の職業である。	まづ書き直さねばいけないところは、この主人公の職業である。
いやはや。	いやはや。
主人公は新作家なのである。	主人公は新作家なのである。
こう直そうと思った。	かう直さうと思つた。
さきに文豪をこころざして、失敗して、そのとき第一の通信。	さきに文豪をこころざして、失敗して、そのとき第一の通信。
つぎに革命家を夢みて、敗北して、そのとき第二の通信。	つぎに革命家を夢みて、敗北して、そのとき第二の通信。
いまは、サラリイマンになって家庭の安楽ということにつき疑い悩んで、そのとき第三の通信。	いまは、サラリイマンになつて家庭の安樂といふことにつき疑ひ惱んで、そのとき第三の通信。
こんなふうに、だいたいの見とおしをつけて置く。	こんなふうに、だいたいの見とほしをつけて置く。
主人公を、できるだけ文学臭から遠ざけること。	主人公を、できるだけ文學臭から遠ざけること。
そうして革命家をこころざしてからは、文学のブの字も言わせぬこと。	さうして革命家をこころざしてからは、文學のブの字も言はせぬこと。
自分がそのような境遇にあったとき、心から欲しいと思った手紙なり葉書なり電報なりを、事実、主人公が受けとったことにして書くのだ。	自分がそのやうな境遇にあつたとき、心から欲しいと思つた手紙なり葉書なり電報なりを、事實、主人公が受けとつたことにして書くのだ。
これは楽しみながら書かねば損である。	これは樂しみながら書かねば損である。
甘さを恥かしがらずに平気な顔をして書こう。	甘さを恥かしがらずに平氣な顏をして書かう。
男は、ふと、「ヘルマンとドロテア」という物語を思い合せた。	男は、ふと、「ヘルマンとドロテア」といふ物語を思ひ合せた。
つぎつぎと彼を襲うあやしい妄念を、はげしく首振って追い払いつつ、男はいそいで原稿用紙にむかった。	つぎつぎと彼を襲ふあやしい妄念を、はげしく首振つて追ひ拂ひつつ、男はいそいで原稿用紙にむかつた。
もっと小さい小さい原稿用紙だったらいいなと思った。	もつと小さい小さい原稿用紙だつたらいいなと思つた。
自分にも何を書いているのか判らぬくらいにくしゃくしゃと書けたらいいなと思った。	自分にも何を書いてゐるのか判らぬくらゐにくしやくしやと書けたらいいなと思つた。
題を「風の便り」とした。	題を「風の便り」とした。
書きだしもあたらしく書き加えた。	書きだしもあたらしく書き加へた。
こう書いた。	かう書いた。
――諸君は音信をきらいであろうか。	――諸君は音信をきらひであらうか。
諸君が人生の岐路に立ち、哭泣すれば、どこか知らないところから風とともにひらひら机上へ舞い来って、諸君の前途に何か光を投げて呉れる、そんな音信をきらいであろうか。	諸君が人生の岐路に立ち、哭泣すれば、どこか知らないところから風とともにひらひら机上へ舞ひ來つて、諸君の前途に何か光を投げて呉れる、そんな音信をきらひであらうか。
彼は仕合せものである。	彼は仕合せものである。
いままで三度も、そのような胸のときめく風の便りを受けとった。	いままで三度も、そのやうな胸のときめく風の便りを受けとつた。
いちどは十九歳の元旦。	いちどは十九歳の元旦。
いちどは二十五歳の早春。	いちどは二十五歳の早春。
いまいちどは、つい昨年の冬。	いまいちどは、つい昨年の冬。
ああ。	ああ。
ひとの幸福を語るときの、ねたみといつくしみの交錯したこの不思議なよろこびを、君よ知るや。	ひとの幸福を語るときの、ねたみといつくしみの交錯したこの不思議なよろこびを、君よ知るや。
十九歳の元旦のできごとから物語ろう。	十九歳の元旦のできごとから物語らう。
そこまで書いて、男は、ひとまずペンを置いた。	そこまで書いて、男は、ひとまづペンを置いた。
やや意に満ちたようであった。	やや意に滿ちたやうであつた。
そうだ、この調子で書けばいいのだ。	さうだ、この調子で書けばいいのだ。
やはり小説というものは、頭で考えてばかりいたって判るものではない。	やはり小説といふものは、頭で考へてばかりゐたつて判るものではない。
書いてみなければ。	書いてみなければ。
男は、しみじみそう心のうちで呟き、そうしてたいへんたのしかったという。	男は、しみじみさう心のうちで呟き、さうしてたいへんたのしかつたといふ。
発見した、発見した。	發見した、發見した。
小説は、やはりわがままに書かねばいけないものだ。	小説は、やはりわがままに書かねばいけないものだ。
試験の答案とは違うのである。	試驗の答案とは違ふのである。
よし。	よし。
この小説は唄いながら少しずつすすめてゆこう。	この小説は唄ひながら少しづつすすめてゆかう。
きょうは、ここまでにして置くのだ。	けふは、ここまでにして置くのだ。
男は、もいちどそっと読みかえしてみてから、その原稿を押入のなかに仕舞い込み、それから、大学の制服を着はじめた。	男は、もいちどそつと讀みかへしてみてから、その原稿を押入のなかに仕舞ひ込み、それから、大學の制服を着はじめた。
男は、このごろたえて学校へ行かないのであるが、それでも一週間に一二度ずつ、こうして制服を着て、そわそわ外出するのである。	男は、このごろたえて學校へ行かないのであるが、それでも一週間に一二度づつ、かうして制服を着て、そはそは外出するのである。
彼等夫婦は或る勤人の二階の六畳と四畳半との二間を借りて住いしているのであって、男はその勤人の家族への手前をつくろい、ときどきこんなふうに登校をよそうのであった。	彼等夫婦は或る勤人の二階の六疊と四疊半との二間を借りて住ひしてゐるのであつて、男はその勤人の家族への手前をつくろひ、ときどきこんなふうに登校をよそふのであつた。
男には、こんな世間ていを気にする俗な一面もあったわけである。	男には、こんな世間ていを氣にする俗な一面もあつたわけである。
またこの男は、どうやら自分の妻にさえ、ていさいをとりつくろっているようである。	またこの男は、どうやら自分の妻にさへ、ていさいをとりつくろつてゐるやうである。
その証拠には、彼の妻は、彼がほんとうに学校へ出ているものだと信じているらしいのだ。	その證據には、彼の妻は、彼がほんたうに學校へ出てゐるものだと信じてゐるらしいのだ。
妻は、まえにも仮定して置いたように、いやしい育ちの女であるから、まず無学だと推測できる。	妻は、まへにも假定して置いたやうに、いやしい育ちの女であるから、まづ無學だと推測できる。
男は、その妻の無学につけこみ、さまざまの不貞を働いていると見てよい。	男は、その妻の無學につけこみ、さまざまの不貞を働いてゐると見てよい。
けれども、だいたいは愛妻家の部類なのである。	けれども、だいたいは愛妻家の部類なのである。
なぜと言うに、彼は妻を安心させるために、ときたま嘘を吐くのである。	なぜと言ふに、彼は妻を安心させるために、ときたま嘘を吐くのである。
輝かしい未来を語る。	輝かしい未來を語る。
その日、彼は外出して、すぐ近くの友人の家を訪れた。	その日、彼は外出して、すぐ近くの友人の家を訪れた。
この友人は、独身者の洋画家であって、彼とは中学校のとき同級であったとか。	この友人は、獨身者の洋畫家であつて、彼とは中學校のとき同級であつたとか。
うちが財産家なので、ぶらぶら遊んでいる。	うちが財産家なので、ぶらぶら遊んでゐる。
人と話をしながら眉をしじゅうぴりぴりとそよがせるのが自慢らしい。	人と話をしながら眉をしじゆうぴりぴりとそよがせるのが自慢らしい。
よくある型の男を想像してもらいたい。	よくある型の男を想像してもらひたい。
その友人の許へ、彼は訪れたのである。	その友人の許へ、彼は訪れたのである。
彼は、もともとこの友人をあまり好きではないのである。	彼は、もともとこの友人をあまり好きではないのである。
そう言えば、彼は、彼のほかの二三の友人たちをもたいして好いてはいないのであるが、ことにこの友人が、相手をいらいらさせる特種の技倆を持っているので、彼はことにも好きになれないのだそうである。	さう言へば、彼は、彼のほかの二三の友人たちをもたいして好いてはゐないのであるが、ことにこの友人が、相手をいらいらさせる特種の技倆を持つてゐるので、彼はことにも好きになれないのださうである。
彼がでもこの友人を、きょう訪問したのは、まず手近なところから彼の歓喜をわけてやろうという心からにちがいない。	彼がでもこの友人を、けふ訪問したのは、まづ手近なところから彼の歡喜をわけてやらうといふ心からにちがひない。
この男は、いま、幸福の予感にぬくぬくと温まっているらしいが、そんなときには、人は、どこやら慈悲深くなるものらしい。	この男は、いま、幸福の豫感にぬくぬくと温まつてゐるらしいが、そんなときには、人は、どこやら慈悲深くなるものらしい。
洋画家は在宅していた。	洋畫家は在宅してゐた。
彼は、この洋画家と対座して、開口一番、彼の小説のことを話して聞かせた。	彼は、この洋畫家と對座して、開口一番、彼の小説のことを話して聞かせた。
おれはこういう小説を書きたいと思っている、とだいたいのプランを語って、うまく行けば売れるかも知れないよ、書きだしはこんな工合いだ、と彼はたったいま書いて来た五六行の文章を、頬をあからめながらひくく言いだしたのである。	おれはかういふ小説を書きたいと思つてゐる、とだいたいのプランを語つて、うまく行けば賣れるかも知れないよ、書きだしはこんな工合ひだ、と彼はたつたいま書いて來た五六行の文章を、頬をあからめながらひくく言ひだしたのである。
彼は、いつでも自分の文章をすべて暗記しているのだそうである。	彼は、いつでも自分の文章をすべて暗記してゐるのださうである。
洋画家は、れいの眉をふるわせつつ、それはいいと吃るようにして言った。	洋畫家は、れいの眉をふるはせつつ、それはいいと吃るやうにして言つた。
それだけでたくさんなのに、要らないことをせかせか、つぎからつぎとしゃべりはじめた。	それだけでたくさんなのに、要らないことをせかせか、つぎからつぎとしやべりはじめた。
虚無主義者の神への揶揄であるとか、小人の英雄への反抗であるとか、それから、彼にはいまもってなんのことやら訳がわからぬのであるが、観念の幾何学的構成であるとさえ言った。	虚無主義者の神への揶揄であるとか、小人の英雄への反抗であるとか、それから、彼にはいまもつてなんのことやら譯がわからぬのであるが、觀念の幾何學的構成であるとさへ言つた。
彼にとっては、ただこの友人が、それはいい、おれもそんな風の便りが欲しいよ、と言って呉れたら満足だったのである。	彼にとつては、ただこの友人が、それはいい、おれもそんな風の便りが欲しいよ、と言つて呉れたら滿足だつたのである。
批評を忘れようとして、ことさらに、「風の便り」などというロマンチックな題材をえらんだ筈である。	批評を忘れやうとして、ことさらに、「風の便り」などといふロマンチツクな題材をえらんだ筈である。
それを、この心なき洋画家に観念の幾何学的構成だとかなんだとか、新聞の一行知識めいた妙な批評をされて、彼はすぐ、これは危いと思った。	それを、この心なき洋畫家に觀念の機何學的構成だとかなんだとか、新聞の一行知識めいた妙な批評をされて、彼はすぐ、これは危いと思つた。
まごまごして、彼もその批評の遊戯に誘いこまれたなら、「風の便り」も、このあと書きつづけることができなくなる。	まごまごして、彼もその批評の遊戲に誘ひこまれたなら、「風の便り」も、このあと書きつづけることができなくなる。
危い。	危い。
男は、その友人の許からそこそこにひきあげたという。	男は、その友人の許からそこそこにひきあげたといふ。
そのまま、すぐうちへ帰るのも工合いがわるいし、彼はその足で、古本屋へむかった。	そのまま、すぐうちへ歸るのも工合ひがわるいし、彼はその足で、古本屋へむかつた。
みちみち男は考える。	みちみち男は考へる。
うんといい便りにしよう。	うんといい便りにしよう。
第一の通信は、葉書にしよう。	第一の通信は、葉書にしよう。
少女からの便りである。	少女からの便りである。
短い文章で、そのなかには、主人公をいたわりたい心がいっぱいあふれているようなそんな便りにしたい。	短い文章で、そのなかには、主人公をいたはりたい心がいつぱいにあふれてゐるやうなそんな便りにしたい。
「私、べつに悪いことをするのではありませんから、わざと葉書にかきます」という書きだしはどうだろう。	「私、べつに惡いことをするのではありませんから、わざと葉書にかきます。」といふ書きだしはどうだらう。
主人公が元旦にそれを受けとるのだから、いちばんおしまいに、「忘れていました。	主人公が元旦にそれを受けとるのだから、いちばんおしまひに、「忘れてゐました。
新年おめでとうございます」と小さく書き加えてあることにしよう。	新年おめでたうございます。」と小さく書き加へてあることにしよう。
すこし、とぼけすぎるかしら。	すこし、とぼけすぎるかしら。
男は夢みるような心地で街をあるいている。	男は夢みるやうな心地で街をあるゐてゐる。
自動車に二度もひかれそこなった。	自動車に二度もひかれそこなつた。
第二の通信は、主人公がひところはやりの革命運動をして、牢屋にいれられたとき、そのとき受けとることにしよう。	第二の通信は、主人公がひところはやりの革命運動をして、牢屋にいれられたとき、そのとき受けとることにしよう。
「彼が大学へはいってからは、小説に心をそそられなかった」とはじめから断って置こう。	「彼が大學へはひつてからは、小説に心をそそられなかつた。」とはじめから斷つて置かう。
主人公はもはや第一の通信を受けとるまえに、文豪になりそこねて痛い目に逢っているのだから。	主人公はもはや第一の通信を受けとるまへに、文豪になりそこねて痛い目に逢つてゐるのだから。
男は、もう、そのときの文章を胸のなかに組立てはじめた。	男は、もう、そのときの文章を胸のなかに組立てはじめた。
「文豪として名高くなることは、いまの彼にとって、ゆめのゆめだ。	「文豪として名高くなることは、いまの彼にとつて、ゆめのゆめだ。
小説を書いて、たとえばそれが傑作として世に喧伝され、有頂天の歓喜を得たとしても、それは一瞬のよろこびである。	小説を書いて、たとへばそれが傑作として世に喧傳され、有頂天の歡喜を得たとしても、それは一瞬のよろこびである。
おのれの作品に対する傑作の自覚などあり得ない。	おのれの作品に對する傑作の自覺などあり得ない。
はかない一瞬間の有頂天がほしくて、五年十年の屈辱の日を送るということは、彼には納得できなかった」どうやら演説くさくなったな。	はかない一瞬間の有頂天がほしくて、五年十年の屈辱の日を送るといふことは、彼には納得できなかつた。」どうやら演説くさくなつたな。
男はひとりで笑いだした。	男はひとりで笑ひだした。
「彼にはただ、情熱のもっとも直截なはけ口が欲しかったのである。	「彼にはただ、情熱のもつとも直截なはけ口が欲しかつたのである。
考えることよりも、唄うことよりも、だまってのそのそ実行したほうがほんとうらしく思えた。	考へることよりも、唄ふことよりも、だまつてのそのそ實行したはうがほんたうらしく思へた。
ゲエテよりもナポレオン。	ゲエテよりもナポレオン。
ゴリキイよりもレニン」やっぱり少し文学臭い。	ゴリキイよりもレニン。」やつぱり少し文學臭い。
この辺の文章には、文学のブの字もなくしなければいけないのだ。	この邊の文章には、文學のブの字もなくしなければいけないのだ。
まあ、いいようになるだろう。	まあ、いいやうになるだらう。
あまり考えすごすと、また書けなくなる。	あまり考へすごすと、また書けなくなる。
つまり、この主人公は、銅像になりたく思っているのである。	つまり、この主人公は、銅像になりたく思つてゐるのである。
このポイントさえはずさないようにして書いたなら、しくじることはあるまい。	このポイントさへはづさないやうにして書いたなら、しくじることはあるまい。
それから、この主人公が牢屋で受けとる通信であるが、これは長い長い便りにするのだ。	それから、この主人公が牢屋で受けとる通信であるが、これは長い長い便りにするのだ。
われに策あり。	われに策あり。
たとえ絶望の底にいる人でも、それを読みさえすれば、もういちど陣営をたて直そうという気が起らずにはすまぬ。	たとへ絶望の底にゐる人でも、それを讀みさへすれば、もういちど陣營をたて直さうといふ氣が起らずにはすまぬ。
しかも、これは女文字で書かれた手紙だ。	しかも、これは女文字で書かれた手紙だ。
「ああ。	「ああ。
様という字のこの不器用なくずしかたに、彼は見覚えがあったのである。	樣といふ字のこの不器用なくづしかたに、彼は見覺えがあつたのである。
五年前の賀状を思い出したのであった」	五年前の賀状を思ひ出したのであつた。」
第三の通信は、こうしよう。	第三の通信は、かうしよう。
これは葉書でも手紙でもない、まったく異様な風の便りにしよう。	これは葉書でも手紙でもない、まつたく異樣な風の便りにしよう。
通信文のおれの腕前は、もう見せてあるから、なにか目さきの変ったものにするのだ。	通信文のおれの腕前は、もう見せてあるから、なにか目さきの變つたものにするのだ。
銅像になりそこねた主人公は、やがて平凡な結婚をして、サラリイマンになるのであるが、これは、うちの勤人の生活をそのまま書いてやろう。	銅像になりそこねた主人公は、やがて平凡な結婚をして、サラリイマンになるのであるが、これは、うちの勤人の生活をそのまま書いてやらう。
主人公が家庭に倦怠を感じはじめている矢先。	主人公が家庭に倦怠を感じはじめてゐる矢先。
冬の日曜の午後あたり、主人公は縁側へ出て、煙草をくゆらしている。	冬の日曜の午後あたり、主人公は縁側へ出て、煙草をくゆらしてゐる。
そこへ、ほんとうに風とともに一葉の手紙が、彼の手許へひらひら飛んで来た。	そこへ、ほんたうに風とともに一葉の手紙が、彼の手許へひらひら飛んで來た。
「彼はそれに眼をとめた。	「彼はそれに眼をとめた。
妻がふるさとの彼の父へ林檎が着いたことを知らせにしたためた手紙であった。	妻がふるさとの彼の父へ林檎が着いたことを知らせにしたためた手紙であつた。
投げて置かないで、すぐ出すといい。	投げて置かないで、すぐ出すといい。
そう呟きつつ、ふと首をかしげた。	さう呟きつつ、ふと首をかしげた。
ああ。	ああ。
様という字のこの不器用なくずしかたに彼は見覚えがあったのである」このような空想的な物語を不自然でなく書くのには、燃える情熱が要るらしい。	樣といふ字のこの不器用なくづしかたに彼は見覺えがあつたのである。」このやうな空想的な物語を不自然でなく書くのには、燃える情熱が要るらしい。
こんな奇遇の可能を作者自身が、まじめに信じていなければいけないのだ。	こんな奇遇の可能を作者自身が、まじめに信じてゐなければいけないのだ。
できるかどうか、とにかくやってみよう。	できるかどうか、とにかくやつてみやう。
男は、いきおいこんで古本屋にはいったのである。	男は、いきほひこんで古本屋にはひつたのである。
ここの古本屋には、「チエホフ書翰集」と「オネーギン」がある筈だ。	ここの古本屋には、「チエホフ書翰集」と「オネーギン」がある筈だ。
この男が売ったのだから。	この男が賣つたのだから。
彼はいま、その二冊を読みかえしたく思って、この古本屋へ来たわけである。	彼はいま、その二册を讀みかへしたく思つて、この古本屋へ來たわけである。
「オネーギン」にはタチアナのよい恋文がある。	「オネーギン」にはタチアナのよい戀文がある。
二冊とも、まだ売れずにいた。	二册とも、まだ賣れずにゐた。
