廃墟から	廃墟から
私はじっとしていられない衝動のまま、再び外へ出て、病院の方へ出掛けた。	私はじつとしてゐられない衝動のまま、再び外へ出て、病院の方へ出掛けた。
病院の玄関先には次兄がまだ茫然と待たされていた。	病院の玄関先には次兄がまだ呆然と待たされてゐた。
私はその姿を見ると、	私はその姿を見ると、
「惜しかったね、戦争は終ったのに……」と声をかけた。	「惜しかつたね、戦争は終つたのに……」と声をかけた。
もう少し早く戦争が終ってくれたら――この言葉は、その後みんなで繰返された。	もう少し早く戦争が終つてくれたら――この言葉は、その後みんなで繰返された。
彼は末の息子を喪っていたし、ここへ疎開するつもりで準備していた荷物もすっかり焼かれていたのだった。	彼は末の息子を喪つていたし、ここへ疎開するつもりで準備してゐた荷物もすつかり焼かれてゐたのだつた。
私は夕方、青田の中の径を横切って、八幡川の堤の方へ降りて行った。	私は夕方、青田の中の径を横切つて、八幡川の堤の方へ降りて行つた。
浅い流れの小川であったが、水は澄んでいて、岩の上には黒とんぼが翅を休めていた。	浅い流れの小川であつたが、水は澄んでゐて、岩の上には黒とんぼが翅を休めてゐた。
私はシャツの儘水に浸ると、大きな息をついた。	私はシヤツの儘水に浸ると、大きな息をついた。
頭をめぐらせば、低い山脈が静かに黄昏の色を吸収しているし、遠くの山の頂は日の光に射られてキラキラと輝いている。	頭をめぐらせば、低い山脈が静かに黄昏の色を吸集してゐるし、遠くの山の頂は日の光に射られてキラキラと輝いてゐる。
これはまるで嘘のような景色であった。	これはまるで嘘のやうな景色であつた。
もう空襲のおそれもなかったし、今こそ大空は深い静謐を湛えているのだ。	もう空襲のおそれもなかつたし、今こそ大空は深い静謐を湛へてゐるのだ。
ふと、私はあの原子爆弾の一撃からこの地上に新しく墜落して来た人間のような気持がするのであった。	ふと、私はあの原子爆弾の一撃からこの地上に新しく墜落して来た人間のやうな気持がするのであつた。
それにしても、あの日、饒津の河原や、泉邸の川岸で死狂っていた人間達は、――この静かな眺めにひきかえて、あの焼跡は一体いまどうなっているのだろう。	それにしても、あの日、饒津の河原や、泉邸の川岸で死狂つてゐた人間達は、――この静かな眺めにひきかへ、あの焼跡は一体いまどうなつてゐるのだろう。
新聞によれば、七十五年間は市の中央には居住できないと報じているし、人の話ではまだ整理のつかない死骸が一万もあって、夜毎焼跡には人魂が燃えているという。	新聞によれば、七十五年間は市の中央には居住できないと報じてゐるし、人の話ではまだ整理のつかない死骸が一万もあつて、夜毎焼跡には人魂が燃えてゐるといふ。
川の魚もあの後二三日して死骸を浮べていたが、それを獲って喰った人間は間もなく死んでしまったという。	川の魚もあの後二三日して死骸を浮べてゐたが、それを獲つて喰つた人間は間もなく死んでしまつたといふ。
あの時、元気で私達の側に姿を見せていた人達も、その後敗血症で斃れてゆくし、何かまだ、惨として割りきれない不安が附纏うのであった。	あの時、元気で私達の側に姿を見せてゐた人達も、その後敗血症で斃れてゆくし、何かまだ、惨として、割りきれない不安が附纏ふのであつた。
食糧は日々に窮乏していた。	食糧は日々に窮乏してゐた。
ここでは、罹災者に対して何の温かい手も差しのべられなかった。	ここでは、罹災者に対して何の温かい手も差しのべられなかつた。
毎日毎日、かすかな粥を啜って暮らさねばならなかったので、私はだんだん精魂が尽きて食後は無性に睡くなった。	毎日毎日、かすかな粥を啜つて暮らさねばならなかつたので、私はだんだん精魂が尽きて食後は無性に睡くなつた。
二階から見渡せば、低い山脈の麓からずっとここまで稲田はつづいている。	二階から見渡せば、低い山脈の麓からずつとここまで稲田はつづいてゐる。
青く伸びた稲は炎天にそよいでいるのだ。	青く伸びた稲は炎天にそよいでゐるのだ。
あれは地の糧であろうか、それとも人間を飢えさすためのものであろうか。	あれは地の糧であらうか、それとも人間を飢ゑさすためのものであらうか。
空も山も青い田も、飢えている者の眼には虚しく映った。	空も山も青い田も、飢ゑてゐる者の眼には虚しく映つた。
夜は燈火が山の麓から田のあちこちに見えだした。	夜は燈火が山の麓から田のあちこちに見えだした。
久し振りに見る燈火は優しく、旅先にでもいるような感じがした。	久振りに見る燈火は優しく、旅先にでもゐるやうな感じがした。
食事の後片づけを済ますと、妹はくたくたに疲れて二階へ昇って来る。	食事の後片づけを済ますと、妹はくたくたに疲れて二階へ昇つて来る。
彼女はまだあの時の悪夢から覚めきらないもののように、こまごまとあの瞬間のことを回想しては、プルプルと身顫をするのであった。	彼女はまだあの時の悪夢から覚めきらないもののやうに、こまごまとあの瞬間のことを回想しては、ブルブルと身顫をするのであつた。
あの少し前、彼女は土蔵へ行って荷物を整理しようかと思っていたのだが、もし土蔵に這入っていたら、恐らく助からなかっただろう。	あの少し前、彼女は土蔵へ行つて荷物を整理しようかと思つてゐたのだが、もし土蔵に這入つてゐたら、恐らく助からなかつただらう。
私も偶然に助かったのだが、私が遭難した処と垣一重隔てて隣家の二階にいた青年は即死しているのであった。	私も偶然に助かつたのだが、私が遭難した処と垣一重隔てて隣家の二階にゐた青年は即死してゐるのであつた。
――今も彼女は近所の子供で家屋の下敷になっていた姿をまざまざと思い浮べて戦くのであった。	――今も彼女は近所の子供で家屋の下敷になつてゐた姿をさまざまと思ひ浮かべて戦くのであつた。
それは妹の子供と同級の子供で、前には集団疎開に加わって田舎に行っていたのだが、そこの生活にどうしても馴染めないので両親の許へ引取られていた。	それは妹の子供と同級の子供で、前には集団疎開に加はつて田舎に行つてゐたのだが、そこの生活にどうしても馴染めないので両親の許へ引取られてゐた。
いつも妹はその子供が路上で遊んでいるのを見ると、自分の息子も暫くでいいから呼戻したいと思うのであった。	いつも妹はその子供が路上で遊んでゐるのを見ると、自分の息子も暫くでいいから呼戻したいと思ふのであつた。
火の手が見えだした時、妹はその子供が材木の下敷になり、首を持上げながら、「おばさん、助けて」と哀願するのを見た。	火の手が見えだした時、妹はその子供が材木の下敷になり、首を持上げながら、「をばさん、助けて」と哀願するのを見た。
しかし、あの際彼女の力ではどうすることも出来なかったのだ。	しかし、あの際彼女の力ではどうすることも出来なかつたのだ。
こういう話ならいくつも転っていた。	かういふ話ならいくつも転がつてゐた。
長兄もあの時、家屋の下敷から身を匐い出して立上ると、道路を隔てて向うの家の婆さんが下敷になっている顔を認めた。	長兄もあの時、家屋の下敷から身を匐ひ出して立上ると、道路を隔てて向の家の婆さんが下敷になつてゐる顔を認めた。
瞬間、それを助けに行こうとは思ったが、工場の方で泣喚く学徒の声を振切るわけにはゆかなかった。	瞬間、それを助けに行かうとは思つたが、工場の方で泣喚く学徒の声を振切るわけにはゆかなかつた。
もっと痛ましいのは嫂の身内であった。	もつと痛ましいのは嫂の身内であつた。
槇氏の家は大手町の川に臨んだ閑静な栖いで、私もこの春広島へ戻って来ると一度｜挨拶に行ったことがある。	槇氏の家は大手町の川に臨んだ閑静な栖ひで、私もこの春広島へ戻つて来ると一度挨拶に行つたことがある。
大手町は原子爆弾の中心といってもよかった。	大手町は原子爆弾の中心といつてもよかつた。
台所で救いを求めている夫人の声を聞きながらも、槇氏は身一つで飛び出さねばならなかったのだ。	台所で救ひを求めてゐる夫人の声を聞きながらも、槇氏は身一つで飛び出さねばならなかつたのだ。
槇氏の長女は避難先で分娩すると、急に変調を来たし、輸血の針跡から化膿して遂に助からなかった。	槇氏の長女は避難先で分娩すると、急に変調を来たし、輸血の針跡から化膿して遂に助からなかつた。
流川町の槇氏も、これは主人は出征中で不在だったが、夫人と子供の行方が分らなかった。	流川町の槇氏も、これは主人は出征中で不在だつたが、夫人と子供の行衛が分らなかつた。
私が広島で暮したのは半年足らずで顔見知も少かったが、嫂や妹などは、近所の誰彼のその後の消息を絶えず何処かから寄せ集めて、一喜一憂していた。	私が広島で暮したのは半年足らずで顔見知も少かつたが、嫂や妹などは、近所の誰彼のその後の消息を絶えず何処かから寄せ集めて、一喜一憂してゐた。
工場では学徒が三名死んでいた。	工場では学徒が三名死んでゐた。
二階がその三人の上に墜落して来たらしく、三人が首を揃えて、写真か何かに見入っている姿勢で、白骨が残されていたという。	二階がその三人の上に墜落して来たらしく、三人が首を揃えて、写真か何かに見入つてゐる姿勢で、白骨が残されてゐたといふ。
纔かの目じるしで、それらの姓名も判明していた。	纔かの目じるしで、それらの姓名も判明してゐた。
が、Ｔ先生の消息は不明であった。	が、Ｔ先生の消息は不明であつた。
先生はその朝まだ工場には姿を現していなかった。	先生はその朝まだ工場には姿を現してゐなかつた。
しかし、先生の家は細工町のお寺で、自宅にいたにしろ、途上だったにしろ、恐らく助かってはいそうになかった。	しかし、先生の家は細工町のお寺で、自宅にゐたにしろ、途上だつたにしろ、恐らく助かつてはゐさうになかつた。
その先生の清楚な姿はまだ私の目さきにはっきりと描かれた。	その先生の清楚な姿はまだ私の目さきにはつきりと描かれた。
用件があって、先生の処へ行くと、彼女はかすかに混乱しているような貌で、乱暴な字を書いて私に渡した。	用件があつて、先生の処へ行くと、彼女はかすかに混乱してゐるやうな貌で、乱暴な字を書いて私に渡した。
工場の二階で、私は学徒に昼休みの時間英語を教えていたが、次第に警報は頻繁になっていた。	工場の二階で、私は学徒に昼休みの時間英語を教へてゐたが、次第に警報は頻繁になつてゐた。
爆音がして広島上空に機影を認めるとラジオは報告していながら、空襲警報も発せられないことがあった。	爆音がして広島上空に機影を認めるとラジオは報告してゐながら、空襲警報も発せられないことがあつた。
「どうしますか」と私は先生に訊ねた。	「どうしますか」と私は先生に訊ねた。
「危険そうでしたらお知らせしますから、それまでは授業していて下さい」と先生は云った。	「危険さうでしたらお知らせしますから、それまでは授業してゐて下さい」と先生は云つた。
だが、白昼広島上空を旋回中という事態はもう容易ならぬことではあった。	だが、白昼広島上空を旋回中といふ事態はもう容易ならぬことであつた。
ある日、私が授業を了えて、二階から降りて来ると、先生はがらんとした工場の隅にひとり腰掛けていた。	ある日、私が授業を了へて、二階から降りて来ると、Ｔ先生はがらんとした工場の隅にひとり腰掛けてゐた。
その側で何か頻りに啼声がした。	その側で何か頻りに啼声がした。
ボール箱を覗くと、雛が一杯｜蠢いていた。	ボール箱を覗くと、雛が一杯蠢いてゐた。
「どうしたのです」と訊ねると、「生徒が持って来たのです」と先生は莞爾笑った。	「どうしたのです」と訊ねると、「生徒が持つて来たのです」と先生は莞爾笑つた。
女の子は時々、花など持って来ることがあった。	女の子は時々、花など持つて来ることがあつた。
事務室の机にも活けられたし、先生の卓上にも置かれた。	事務室の机にも活けられたし、先生の卓上にも置かれた。
工場が退けて生徒達がぞろぞろ表の方へ引上げ、路上に整列すると、Ｔ先生はいつも少し離れた処から監督していた。	工場が退けて生徒達がぞろぞろ表の方へ引上げ、路上に整列すると、Ｔ先生はいつも少し離れた処から監督してゐた。
先生の掌には花の包みがあり、身嗜のいい、小柄な姿は凛としたものがあった。	先生の掌には花の包みがあり、身嗜のいい、小柄な姿は凜としたものがあつた。
もし彼女が途中で遭難しているとすれば、あの沢山の重傷者の顔と同じように、想っても、ぞっとするような姿に変り果てたことだろう。	もし彼女が途中で遭難してゐるとすれば、あの沢山の重傷者の顔と同じやうに、想つても、ぞつとするやうな姿に変り果てたことだらう。
私は学徒や工員の定期券のことで、よく東亜交通公社へ行ったが、この春から建物疎開のため交通公社は既に二度も移転していた。	私は学徒や工員の定期券のことで、よく東亜交通公社へ行つたが、この春から建物疎開のため交通公社は既に二度も移転してゐた。
最後の移転した場所もあの惨禍の中心にあった。	最後の移転した場所もあの惨禍の中心にあつた。
そこには私の顔を見憶えてしまった色の浅黒い、舌足らずでものを云う、しかし、賢そうな少女がいた。	そこには私の顔を身憶えてしまつた、色の浅黒い、舌足らずでものを云ふ、しかし、賢こさうな少女がゐた。
彼女も恐らく助かってはいないであろう。	彼女も恐らく助かつてはゐないであらう。
戦傷保険のことで、よく事務室に姿を現していた、七十すぎの老人があった。	戦傷保険のことで、よく事務室に姿を現してゐた、七十すぎの老人があつた。
この老人は廿日市町にいる兄が、その後元気そうな姿を見かけたということであった。	この老人は廿日市町にゐる兄が、その後元気さうな姿を見かけたといふことであつた。
どうかすると、私の耳は何でもない人声に脅かされることがあった。	どうかすると、私の耳は何でもない人声に脅やかされることがあつた。
牛小屋の方で、誰かが頓狂な喚きを発している、と、すぐその喚き声があの夜河原で号泣している断末魔の声を聯想させた。	牛小屋の方で、誰かが頓狂な喚きを発してゐる、と、すぐその喚き声があの夜河原で号泣してゐる断末魔の声を連想させた。
腸を絞るような声と、頓狂な冗談の声は、まるで紙一重のところにあるようであった。	腸を絞るやうな声と、頓狂な冗談の声は、まるで紙一重のところにあるやうであつた。
私は左側の眼の隅に異状な現象の生ずるのを意識するようになった。	私は左側の眼の隅に異状な現象の生ずるのを意識するやうになつた。
ここへ移ってから、四五日目のことだが、日盛の路を歩いていると左の眼の隅に羽虫か何か、ふわりと光るものを感じた。	ここへ移つてから、四五日目のことだが、日盛の路を歩いてゐると左の眼の隅に羽虫か何か、ふわりと光るものを感じた。
光線の反射かと思ったが、日陰を歩いて行っても、時々光るものは目に映じた。	光線の反射かと思つたが、日蔭を歩いて行つても、時々光るものは目に映じた。
それから夕暮になっても、夜になっても、どうかする度に光るものがチラついた。	それから夕暮になつても、夜になつても、どうかする度に光るものがチラついた。
これはあまりおびただしい焔を見た所為であろうか、それとも頭上に一撃を受けたためであろうか。	これはあまりおびただしい焔を見た所為であらうか、それとも頭上に一撃を受けたためであらうか。
あの朝、私は便所にいたので、皆が見たという光線は見なかったし、いきなり暗黒が滑り墜ち、頭を何かで撲りつけられたのだ。	あの朝、私は便所にゐたので、皆が見たといふ光線は見なかつたし、いきなり暗黒が滑り墜ち、頭を何かで撲りつけられたのだ。
左側の眼蓋の上に出血があったが、殆ど無疵といっていい位、怪我は軽かった。	左側の眼蓋の上に出血があつたが、殆ど無疵といつていい位、怪我は軽かつた。
あの時の驚愕がやはり神経に響いているのであろうか、しかし、驚愕とも云えない位、あれはほんの数秒間の出来事であったのだ。	あの時の驚愕がやはり神経に響いてゐるのであらうか、しかし、驚愕とも云へない位、あれはほんの数秒間の出来事であつたのだ。
私はひどい下痢に悩まされだした。	私はひどい下痢に悩まされだした。
夕刻から荒れ模様になっていた空が、夜になると、ひどい風雨となった。	夕刻から荒れ模様になつてゐた空が、夜になると、ひどい風雨となつた。
稲田の上を飛散る風の唸りが、電燈の点かない二階にいてはっきりと聞える。	稲田の上を飛散る風の唸りが、電燈の点かない二階にゐてはつきりと聞える。
家が吹飛ばされるかもしれないというので、階下にいる次兄達や妹は母屋の方へ避難して行った。	家が吹飛ばされるかもしれないといふので、階下にゐる次兄達や妹は母屋の方へ避難して行つた。
私はひとり二階に寝て、風の音をうとうとと聞いた。	私はひとり二階に寝て、風の音をうとうとと聞いた。
家が崩れる迄には、雨戸が飛び、瓦が散るだろう、みんなあの異常な体験のため神経過敏になっているようであった。	家が崩れる迄には、雨戸が飛び、瓦が散るだらう。みんなあの異常な体験のため神経過敏になつてゐるやうであつた。
時たま風がぴったり歇むと、蛙の啼声が耳についた。	時たま風がぴつたり歇むと、蛙の啼声が耳についた。
それからまた思いきり、一もみ風は襲撃して来る。	それからまた思ひきり、一もみ風は襲撃して来る。
私も万一の時のことを寝たまま考えてみた。	私も万一の時のことを寝たまま考へてみた。
持って逃げるものといったら、すぐ側にある鞄ぐらいであった。	持つて逃げるものといつたら、すぐ側にある鞄ぐらゐであつた。
階下の便所に行く度に空を眺めると、真暗な空はなかなか白みそうにない。	階下の便所に行く度に空を眺めると、真暗な空はなかなか白みさうにない。
パリパリと何か裂ける音がした。	パリパリと何か裂ける音がした。
天井の方からザラザラの砂が墜ちて来た。	天井の方からザラザラの砂が墜ちて来た。
翌朝、風はぴったり歇んだが、私の下痢は容易にとまらなかった。	翌朝、風はぴつたり歇んだが、私の下痢は容易にとまらなかつた。
腰の方の力が抜け、足もとはよろよろとした。	腰の方の力が抜け、足もとはよろよろとした。
建物疎開に行って遭難したのに、奇蹟的に命拾いをした中学生の甥は、その後毛髪がすっかり抜け落ち次第に元気を失っていた。	建物疎開に行つて遭難したのに、奇蹟的に命拾ひをした中学生の甥は、その後毛髪がすつかり抜け落ち、次第に元気を失つてゐた。
そして、四肢には小さな斑点が出来だした。	そして、四肢には小さな斑点が出来だした。
私も体を調べてみると、極く僅かだが、斑点があった。	私も体を調べてみると、極く僅かだが、斑点があつた。
念のため、とにかく一度｜診て貰うため病院を訪れると、庭さきまで患者が溢れていた。	念のため、とにかく一度診て貰ふため病院を訪れると、庭さきまで患者が溢れてゐた。
尾道から広島へ引上げ、大手町で遭難したという婦人がいた。	尾道から広島へ引上げ、大手町で遭難したといふ婦人がゐた。
髪の毛は抜けていなかったが、今朝から血の塊が出るという。	髪の毛は抜けてゐなかつたが、今朝から血の塊りが出るといふ。
妊っているらしく、懶そうな顔に、底知れぬ不安と、死の近づいている兆を湛えているのであった。	姙つてゐるらしく、懶さうな顔に、底知れぬ不安と、死の近づいてゐる兆を湛へてゐるのであつた。
舟入川口町にある姉の一家は助かっているという報せが、廿日市の兄から伝わっていた。	舟入川口町にある姉の一家は助かつてゐるといふ報せが、廿日市の兄から伝はつてゐた。
義兄はこの春から病臥中だし、とても救われまいと皆想像していたのだが、家は崩れてもそこは火災を免れたのだそうだ。	義兄はこの春から病臥中だし、とても救はれまいと皆想像してゐたのだが、家は崩れてもそこは火災を免れたのださうだ。
息子が赤痢でとても今苦しんでいるから、と妹に応援を求めて来た。	息子が赤痢でとても今苦しんでゐるから、と妹に応援を求めて来た。
妹もあまり元気ではなかったが、とにかく見舞に行くことにして出掛けた。	妹もあまり元気ではなかつたが、とにかく見舞に行くことにして出掛けた。
そして、翌日広島から帰って来た妹は、電車の中で意外にも西田と出逢った経緯を私に語った。	そして、翌日広島から帰つて来た妹は、電車の中で意外にも西田と出逢つた経緯を私に語つた。
西田は二十年来、店に雇われている男だが、あの朝はまだ出勤していなかったので、途中で光線にやられたとすれば、とても駄目だろうと想われていた。	西田は二十年来、店に雇はれてゐる男だが、あの朝はまだ出勤してゐなかつたので、途中で光線にやられたとすれば、とても駄目だらうと想はれてゐた。
妹は電車の中で、顔のくちゃくちゃに腫れ上った黒焦の男を見た。	妹は電車の中で、顔のくちやくちやに腫れ上つた黒焦の男を見た。
乗客の視線もみんなその方へ注がれていたが、その男は割と平気で車掌に何か訊ねていた。	乗客の視線もみんなその方へ注がれてゐたが、その男は割りと平気で車掌に何か訊ねてゐた。
声がどうも西田によく似ていると思って、近寄って行くと、相手も妹の姿を認めて大声で呼びかけた。	声がどうも西田によく似てゐると思つて、近寄つて行くと、相手も妹の姿を認めて大声で呼びかけた。
その日収容所から始めて出て来たところだということであった。	その日収容所から始めて出て来たところだといふことであつた。
……私が西田を見たのは、それから一カ月あまり後のことで、その時はもう顔の火傷も乾いていた。	……私が西田を見たのは、それから一ヶ月あまり後のことで、その時はもう顔の火傷も乾いてゐた。
自転車もろとも跳ね飛ばされ、収容所に担ぎ込まれてからも、西田はひどい辛酸を嘗めた。	自転車もろとも跳ね飛ばされ、収容所に担ぎ込まれてからも、西田はひどい辛酸を嘗めた。
周囲の負傷者は殆ど死んで行くし、西田の耳には蛆が湧いた。	周囲の負傷者は殆ど死んで行くし、西田の耳には蛆が湧いた。
「耳の穴の方へ蛆が這入ろうとするので、やりきれませんでした」と彼はくすぐったそうに首を傾けて語った。	「耳の穴の方へ蛆が這入らうとするので、やりきれませんでした」と彼はくすぐつたさうに首を傾けて語つた。
九月に入ると、雨ばかり降りつづいた。	九月に入ると、雨ばかり降りつづいた。
頭髪が脱け元気を失っていた甥がふと変調をきたした。	頭髪が脱け元気を失つてゐた甥がふと変調をきたした。
鼻血が抜け、咽喉からも血の塊をごくごく吐いた。	鼻血が抜け、咽喉からも血の塊りをごくごくと吐いた。
今夜が危なかろうというので、廿日市の兄たちも枕許に集った。	今夜が危なからうといふので、廿日市の兄たちも枕許に集つた。
つるつる坊主の蒼白の顔に、小さな縞の絹の着物を着せられて、ぐったり横わっている姿は文楽か何かの陰惨な人形のようであった。	つるつる坊主の蒼白の顔に、小さな縞の絹の着物を着せられて、ぐつたり横はつてゐる姿は文楽か何かの陰惨な人形のやうであつた。
鼻孔には棉の栓が血に滲んでおり、洗面器は吐きだすもので真赤に染っていた。	鼻孔には棉の栓が血に滲んでをり、洗面器は吐きだすもので真赤に染まつてゐた。
「がんばれよ」と、次兄は力の籠った低い声で励ました。	「がんばれよ」と、次兄は力の籠つた声で励ました。
彼は自分の火傷のまだ癒えていないのも忘れて、夢中で看護するのであった。	彼は自分の火傷のまだ癒えてゐないのも忘れて、夢中で看護するのであつた。
不安な一夜が明けると、甥はそのまま奇蹟的に持ちこたえて行った。	不安な一夜が明けると、甥はそのまま奇蹟的に持ちこたへて行つた。
甥と一緒に逃げて助かっていた級友の親から、その友達は死亡したという通知が来た。	甥と一緒に逃げて助かつてゐた級友の親から、その友達は死亡したといふ通知が来た。
兄が廿日市で見かけたという保険会社の元気な老人も、その後｜歯齦から出血しだし間もなく死んでしまった。	兄が廿日市で見かけたといふ保険会社の元気な老人も、その後歯齦から出血しだし間もなく死んでしまつた。
その老人が遭難した場所と私のいた地点とは二町と離れてはいなかった。	その老人が遭難した場所と私のゐた地点とは二丁と離れてはゐなかつた。
しぶとかった私の下痢は漸く緩和されていたが、体の衰弱してゆくことはどうにもならなかった。	しぶとかつた私の下痢は漸く緩和されてゐたが、体の衰弱してゆくことはどうにもならなかつた。
頭髪も目に見えて薄くなった。	頭髪も目に見えて薄くなつた。
すぐ近くに見える低い山がすっかり白い靄につつまれていて、稲田はざわざわと揺れた。	すぐ近くに見える低い山がすつかり白い靄につつまれてゐて、稲田はざわざわと揺れた。
私は昏々と睡りながら、とりとめもない夢をみていた。	私は昏々と睡りながら、とりとめもない夢をみてゐた。
夜の燈が雨に濡れた田の面へ洩れているのを見ると頻りに妻の臨終を憶い出すのであった。	夜の灯が雨に濡れた田の面へ洩れてゐるのを見ると、頻りに妻の臨終を憶ひ出すのであつた。
妻の一周忌も近づいていたが、どうかすると、まだ私はあの棲み慣れた千葉の借家で、彼女と一緒に雨に鎖じこめられて暮しているような気持がするのである。	妻の一周忌も近づいてゐたが、どうかすると、まだ私はあの棲み慣れた千葉の借家で、彼女と一緒に雨に鎖ぢこめられて暮してゐるやうな気持がするのである。
灰燼に帰した広島の家のありさまは、私には殆ど想い出すことがなかった。	灰燼に帰した広島の家のありさまは、私には殆ど想ひ出すことがなかつた。
が、夜明の夢ではよく崩壊直後の家屋が現れた。	が、夜明の夢ではよく崩壊直後の家屋が現れた。
そこには散乱しながらも、いろんな貴重品があった。	そこには散乱しながらも、いろんな貴重品があつた。
書物も紙も机も灰になってしまったのだが、私は内心の昂揚を感じた。	書物も紙も机も灰になつてしまつたのだが、私の内心の昂揚を感じた。
何か書いて力一杯ぶつかってみたかった。	何か書いて力一杯ぶつつかつてみたかつた。
ある朝、雨があがると、一点の雲もない青空が低い山の上に展がっていたが、長雨に悩まされ通したものの眼には、その青空はまるで虚偽のように思われた。	ある朝、雨があがると、一点の雲もない青空が低い山の上に展がつてゐたが、長雨に悩まされ通したものの眼には、その青空はまるで虚偽のやうに思はれた。
はたして、快晴は一日しか保たず、翌日からまた陰惨な雨雲が去来した。	はたして、快晴は一日しか保たず、翌日からまた陰惨な雨雲が去来した。
亡妻の郷里から義兄の死亡通知が速達で十日目に届いた。	亡妻の郷里から義兄の死亡通知が速達で十日目に届いた。
