化鳥	化鳥
「なぜだって、何なの、この間ねえ、先生が修身のお談話をしてね、人は何だから、世の中に一番えらいものだって、そういつたの。	「何故だつて、何なの、此間ねえ、先生が修身のお談話をしてね、人は何だから、世の中に一番えらいものだつて、さういつたの。
母様、違ってるわねえ。」	母様違つてるわねえ。」
「むむ。」	「むゝ。」
「ねッ違ってるワ、母様。」	「ねツ違つてるワ、母様。」
と揉くちゃにしたので、吃驚して、ぴったり手をついて畳の上で、手袋をのした。	と揉くちやにしたので、吃驚して、ぴつたり手をついて畳の上で、手袋をのした。
横に皺が寄ったから、引張って、	横に皺が寄つたから、引張つて、
「だから僕、そういったんだ、いいえ、あの、先生、そうではないの。	「だから僕、さういつたんだ、いゝえ、あの、先生、さうではないの。
人も、猫も、犬も、それから熊も、皆おんなじ動物だって。」	人も、猫も、犬も、それから熊も皆おんなじ動物だつて。」
「何とおっしゃったね。」	「何とおつしやつたね。」
「馬鹿なことをおっしゃいって。」	「馬鹿なことをおつしやいつて。」
「そうでしょう。	「さうでしやう。
それから、」	それから、」
「それから、（だって、犬や、猫が、口を利きますか、ものをいいますか）ッて、そういうの。	「それから、だつて、犬や猫が、口を利きますか、ものをいひますかツて、さういふの。
いいます。	いひます。
雀だってチッチッチッチッて、母様と、父様と、児と朋達と皆で、お談話をしてるじゃあありませんか。	雀だつてチツチツチツチツて、母様と父様と、児と朋達と皆で、お談話をしてるじやあありませんか。
僕眠い時、うっとりしてる時なんぞは、耳ン処に来て、チッチッチて、何かいって聞かせますのッてそういうとね、（詰らない、そりゃ囀るんです。	僕眠い時、うつとりしてる時なんぞは、耳ン処に来て、チツチツチて、何かいつて聞かせますのツてさういふとね、｜詰らない、そりや囀るんです。
ものをいうのじゃあなくッて囀るの、だから何をいうんだか分りますまい）ッて聞いたよ。	ものをいふのぢやあなくツて、囀るの、だから何をいふんだか分りますまいツて聞いたよ。
僕ね、あのウだってもね、先生、人だって、大勢で、皆が体操場で、てんでに何かいってるのを遠くン処で聞いていると、何をいってるのかちっとも分らないで、ざあざあッて流れてる川の音とおんなしで、僕分りませんもの。	僕ね、あのウだつてもね、先生、人だつて、大勢で、皆が体操場で、てんでに何かいつてるのを遠くン処で聞いて居ると、何をいつてるのか些少も分らないで、ざあ／＼ツて流れてる川の音とおんなしで僕分りませんもの。
それから僕の内の橋の下を、あのウ舟｜漕いで行くのが何だか唄って行くけれど、何をいうんだかやっぱり鳥が声を大きくして長く引ぱって鳴いてるのと違いませんもの。	それから僕の内の橋の下を、あのウ舟漕いで行くのが何だか唄つて行くけれど、何をいふんだかやつぱり鳥が声を大きくして長く引ぱつて鳴いてるのと違ひませんもの。
ずッと川下の方で、ほうほうッて呼んでるのは、あれは、あの、人なんか、犬なんか、分りませんもの。	ずツと川下の方でほう／＼ツて呼んでるのは、あれは、あの、人なんか、犬なんか、分りませんもの。
雀だって、四十雀だって、軒だの、榎だのに留ってないで、僕と一所に坐って話したら皆分るんだけれど、離れてるから聞えませんの。	雀だつて、四十雀だつて、軒だの、榎だのに留まつてないで、僕と一所に坐つて話したら皆分るんだけれど、離れてるから聞こえませんの。
だって、ソッとそばへ行って、僕、お談話しようと思うと、皆立っていってしまいますもの、でも、いまに大人になると、遠くで居ても分りますッて。小さい耳だから、沢山いろんな声が入らないのだって、母様が僕、あかさんであった時分からいいました。	だつてソツとそばへ行つて、僕、お談話しやうと思ふと、皆立つていつてしまひますもの、でも、いまに大人になると、遠くで居ても分りますツて、小さい耳だから、沢山いろんな声が入らないのだつて、母様が僕、あかさんであつた時分からいひました。
犬も猫も人間もおんなじだって。	犬も猫も人間もおんなじだつて。
ねえ、母様、だねえ母様、いまに皆分るんだね。」	ねえ、母様、だねえ母様、いまに皆分るんだね。」
三	第三
母様は莞爾なすって、	母様は莞爾なすつて、
「ああ、それで何かい、先生が腹をお立ちのかい。」	「あゝ、それで何かい、先生が腹をお立ちのかい。」
そればかりではなかった、私の児心にも、アレ先生が嫌な顔をしたな、トこう思って取ったのは、まだモ少し種々なことをいいあってから、それから後の事で。	そればかりではなかつた。私が児心にも、アレ先生が嫌な顔をしたなト斯う思つて取つたのは、まだモ少し種々なことをいひあつてからそれから後の事で。
はじめは先生も笑いながら、ま、あなたがそう思っているのなら、しばらくそうしておきましょう。	はじめは先生も笑ひながら、ま、あなたが左様思つて居るのなら、しばらくさうして置きましやう。
けれども人間には智慧というものがあって、これには他の鳥だの、獣だのという動物が企て及ばないということを、私が河岸に住まっているからって、例をあげておさとしであつた。	けれども人間には智恵といふものがあつて、これには他の鳥だの、獣だのといふ動物が企て及ばない、といふことを、私が川岸に住まつて居るからつて、例をあげておさとしであつた。
釣をする、網を打つ、鳥をさす、皆人の智慧で、何も知らない、分らないから、つられて、刺されて、たべられてしまうのだトこういうことだった。	釣をする、網を打つ、鳥をさす、皆人の智恵で、何にも知らない、分らないから、つられて、刺されて、たべられてしまふのだトかういふことだった。
そんなことは私聞かないで知っている、朝晩見ているもの。	そんなことは私聞かないで知つて居る、朝晩見て居るもの。
橋を挟んで、川を遡ったり、流れたりして、流網をかけて魚を取るのが、川ン中に手拱かいて、ぶるぶるふるえて突立ってるうちは、顔のある人間だけれど、そらといって水に潜ると、逆になって、水潜をしいしい五分間ばかりも泳いでいる、足ばかりが見える。	橋を挟んで、川を溯つたり、流れたりして、流網をかけて魚を取るのが、川ン中に手拱かいて、ぶる／＼ふるへて突立つてるうちは顔のある人間だけれど、そらといつて水に潜ると、逆になつて、水潜をしい／＼五｜分間ばかりも泳いで居る、足ばかりが見える。
その足の恰好の悪さといったらない。	其足の恰好の悪さといつたらない。
うつくしい、金魚の泳いでる尾鰭の姿や、ぴらぴらと水銀色を輝かして跳ねてあがる鮎なんぞの立派さにはまるでくらべものになるのじゃあない。	うつくしい、金魚の泳いでる尾鰭の姿や、ぴら／＼と水銀色を輝かして刎ねてあがる鮎なんぞの立派さには全然くらべものになるのぢやあない。
そうしてあんな、水浸になって、大川の中から足を出してる、こんな人間がありますものか。	さうしてあんな、水浸になつて、大川の中から足を出してる、そんな人間がありますものか。
で、人間だと思うとおかしいけれど、川ン中から足が生えたのだと、そう思って見ているとおもしろくッて、ちっとも嫌なことはないので、つまらない観世物を見に行くより、ずっとまし、なのだって、母様がそうお謂いだから、私はそう思っていますもの。	で、人間だと思ふとをかしいけれど、川ン中から足が生へたのだと、さう思つて見て居るとおもしろくツて、ちつとも嫌なことはないので、つまらない観世物を見に行くより、ずつとましなのだつて、母様がさうお謂ひだから私はさう思つて居ますもの。
それから、釣をしてますのは、ね、先生、とまたその時先生にそういいました。	それから、釣をしてますのは、ね、先生、とまた其時先生にさういひました。
あれは人間じゃあない、蕈なんで、御覧なさい。	あれは人間ぢやあない、簟なんで、御覧なさい。
片手｜懐って、ぬうと立って、笠を被ってる姿というものは、堤防の上に一｜本占治茸が生えたのに違いません。	片手懐つて、ぬうと立つて、笠を冠つてる姿といふものは、堤坊の上に一本｜占治茸が生へたのに違ひません。
夕方になって、ひょろ長い影がさして、薄暗い鼠色の立姿にでもなると、ますます占治茸で、ずっと遠い遠い処まで一ならびに、十人も三十人も、小さいのだの、大きいのだの、短いのだの、長いのだの、一番橋手前のを頭にして、さかり時は毎日五六十本も出来るので、またあっちこっちに五六人ずつも一団になってるのは、千本しめじッて、くさくさに生えている、それは小さいのだ。	夕方になつて、ひよろ長い影がさして、薄暗い鼠色の立姿にでもなると、ます／＼占治茸で、づゝと遠い／＼処まで一ならびに、十人も三十人も、小さいのだの、大きいのだの、短いのだの、長いのだの、一番橋手前のを頭にして、さかり時は毎日五六十｜本も出来るので、また彼処此処に五六人づゝも一団になつてるのは、千本しめぢツて、くさ／＼に生へて居る、それは小さいのだ。
木だの、草だのだと、風が吹くと動くんだけれど、蕈だから、あの、蕈だからゆっさりとしもしませぬ。	木だの、草だのだと、風が吹くと動くんだけれど、茸だから、あの、茸だからゆつさりとしもしませぬ。
これが智慧があって釣をする人間で、ちっとも動かない。	これが智恵があつて釣をする人間で、些少も動かない。
その間に魚は皆で悠々と泳いであるいていますわ。	其間に魚は皆で優々と泳いでてあるいて居ますわ。
また智慧があるっても、口を利かれないから鳥とくらべッこすりゃ、五分々々のがある、それは鳥さしで。	また智恵があるつて口を利かれないから鳥とくらべツこすりや、五分五分のがある、それは鳥さしで。
過日見たことがありました。	過日見たことがありました。
余所のおじさんの鳥さしが来て、私ン処の橋の詰で、榎の下で立留まって、六本めの枝のさきに可愛い頬白が居たのを、棹でもってねらったから、あらあらッてそういったら、叱ッ、黙って、黙って。恐い顔をして私を睨めたから、あとじさりをして、そッと見ていると、呼吸もしないで、じっとして、石のように黙ってしまって、こう据身になって、中空を貫くように、じりっと棹をのばして、覗ってるのに、頬白は何にも知らないで、チ、チ、チッチッてッて、おもしろそうに、何かいってしゃべっていました。	他所のおぢさんの鳥さしが来て、私ン処の橋の詰で、榎の下で立留まつて、六本めの枝のさきに可愛い頬白が居たのを、棹でもつてねらつたから、あら／＼ツてさういつたら、叱ツ、黙つて、黙つてツて恐い顔をして私を睨めたから、あとじさりをして、そツと見て居ると、呼吸もしないで、じつとして、石のやうに黙つてしまつて、かう据身になつて、中空を貫くやうに、じりツと棹をのばして、覗つてるのに、頬白は何にも知らないで、チ、チ、チツチツてツて、おもしろさうに、何かいつてしやべつて居ました。
それをとうとう突いてさして取ると、棹のさきで、くるくると舞って、まだ烈しく声を出して鳴いてるのに、智慧のある小父さんの鳥さしは、黙って、鰌掴にして、腰の袋ン中へ捻り込んで、それでもまだ黙って、ものもいわないで、のっそり去っちまったことがあったんで。	其をとう／＼突いてさして取ると、棹のさきで、くる／＼と舞つて、まだ烈しく声を出して啼いてるのに、智恵のあるおぢさんの鳥さしは、黙つて、鰌掴にして、腰の袋ン中へ捻り込むで、それでもまだ黙つて、ものもいはないので、のつそりいつちまつたことがあつたんで。
四	第四
頬白は智慧のある鳥さしにとられたけれど、囀ってましたもの。	頬白は智恵のある鳥さしにとられたけれど、囀つてましたもの。
ものをいっていましたもの。	ものをいつて居ましたもの。
おじさんは黙りで、傍に見ていた私までものを言うことが出来なかったんだもの。	おぢさんは黙りで、傍に見て居た私までものをいふことが出来なかつたんだもの、
何もくらべっこして、どっちがえらいとも分りはしないって。	何もくらべこして、どつちがえらいとも分りはしないつて。
何でもそんなことをいったんで、ほんとうに私そう思っていましたから。	何でもそんなことをいつたんで、ほんとうに私さう思つて居ましたから。
でも、それを先生が怒ったんではなかったらしい。	でも其を先生が怒つたんではなかつたらしい。
で、まだまだいろんなことをいって、人間が、鳥や獣よりえらいものだとそういっておさとしであったけれど、海ン中だの、山奥だの、私の知らない、分らない処のことばかり譬に引いていうんだから、口答は出来なかったけれど、ちっともなるほどと思われるようなことはなかった。	で、まだ／＼いろんなことをいつて、人間が、鳥や獣よりえらいものだとさういつておさとしであつたけれど、海ン中だの、山奥だの、私の知らない、分らない処のことばかり譬に引いていふんだから、口答は出来なかつたけれど、ちつともなるほどと思はれるやうなことはなかつた。
だって、私、母様のおっしゃること、虚言だと思いませんもの。	だつて、私母様のおつしやること、虚言だと思ひませんもの。
私の母様がうそをいって聞かせますものか。	私の母様がうそをいつて聞かせますものか。
先生は同一組の小児達を三十人も四十人も一人で可愛がろうとするんだし、母様は私一人可愛いんだから、どうして、先生のいうことは私を欺すんでも、母様がいってお聞かせのは、決して違ったことではない、トそう思ってるのに、先生のは、まるで母様のと違ったこというんだから心服はされないじゃありませんか。	先生は同一組の小児達を三十人も四十人も一人で可愛がらうとするんだし、母様は私一人｜可愛いんだから、何うして、先生のいふことは私を欺すんでも、母様がいつてお聞かせのは、決して違つたことではない、トさう思つてるのに、先生のは、まるで母様のと違つたこといふんだから心服はされないぢやありませんか。
私が頷かないので、先生がまた、それでは、皆あなたの思ってる通りにしておきましょう。	私が頷かないので、先生がまた、それでは、皆あなたの思つている通りにして置きましやう。
けれども木だの、草だのよりも、人間が立ち優った、立派なものであるということは、いかな、あなたにでも分りましょう、まずそれを基礎にして、お談話をしようからって、聞きました。	けれども木だの、草だのよりも、人間が立優つた、立派なものであるといふことは、いかな、あなたにでも分りましやう、先づそれを基礎にして、お談話をしやうからつて、聞きました。
分らない、	分らない。
私そうは思わなかった。	私さうは思はなかつた。
「あのウ母様（だって、先生、先生より花の方がうつくしゅうございます）ッてそう謂つたの。	「あのウ母様、だつて、先生、先生より花の方がうつくしうございますツてさう謂つたの。
僕、ほんとうにそう思ったの、お庭にね、ちょうど菊の花の咲いてるのが見えたから。」	僕、ほんとうにさう思つたの、お庭にね、ちやうど菊の花が咲いてるのが見えたから。」
先生は束髪に結った、色の黒い、なりの低い巌乗な、でくでく肥った婦人の方で、私がそういうと顔を赤うした。	先生は束髪に結つた、色の黒い、なりの低い頑丈な、でく／＼肥つた婦人の方で、私がさういふと顔を赤うした。
それから急にツッケンドンなものいいおしだから、大方それが腹をお立ちの原因であろうと思う。	それから急にツヽケンドンなものいひおしだから、大方其が腹をお立ちの源因であらうと思ふ。
「母様、それで怒ったの、そうなの。」	「母様、それで怒つたの、さうなの。」
母様は合点々々をなすって、	母様は合点々々をなすつて、
「おお、そんなことを坊や、お前いいましたか。	「おゝ、そんなことを坊や、お前いひましたか。
そりゃお道理だ。」	そりや御道理だ。」
といって笑顔をなすったが、これは私の悪戯をして、母様のおっしゃること肯かない時、ちっとも叱らないで、恐い顔しないで、莞爾笑ってお見せの、それとかわらなかった。	といつて笑顔をなすつたが、これは私の悪戯をして、母様のおつしやること肯かない時、ちつとも叱らないで、恐い顔しないで、莞爾笑つてお見せの、其とかはらなかつた。
そうだ。	さうだ。
先生の怒ったのはそれに違いない。	先生の怒つたのはそれに違ひない。
「だって、虚言をいっちゃあなりませんって、そういつでも先生はいう癖になあ。	「だつて、虚言をいつちやあなりませんつて、さういつでも先生はいふ癖になあ、
ほんとうに僕、花の方がきれいだと思うもの。	ほんとうに僕、花の方がきれいだと思ふもの。
ね、母様、あのお邸の坊ちゃんの、青だの、紫だの交った、着物より、花の方がうつくしいって、そういうのね。	ね、母様、あのお邸の坊ちんの青だの、紫だの交つた、着物より、花の方がうつくしいつて、さういふのね。
だもの、先生なんざ。」	だもの、先生なんざ。」
「あれ、だってもね、そんなこと人の前でいうのではありません。	「あれ、だつてもね、そんなこと人の前でいふのではありません。
お前と、母様のほかには、こんないいこと知ってるものはないのだから。	お前と、母様のほかには、こんないゝこと知つてるものはないのだから、
分らない人にそんなこというと、怒られますよ。	分らない人にそんなこといふと、怒られますよ。
ただ、ねえ、そう思っていれば可のだから、いってはなりませんよ。	唯、ねえ、さう思つて、居れば、可のだから、いつてはなりませんよ。
可いかい。	可かい。
そして先生が腹を立ってお憎みだって、そういうけれど、何そんなことがありますものか。	そして先生が腹を立つてお憎みだつて、さういふけれど、何そんなことがありますものか。
それは皆お前がそう思うからで、あの、雀だって餌を与って、拾ってるのを見て、嬉しそうだと思えば嬉しそうだし、頬白がおじさんにさされた時悲しい声と思って見れば、ひいひいいって鳴いたように聞えたじゃないか。		其は皆お前がさう思ふからで、あの、雀だつて餌を与つて、拾つてるのを見て、嬉しさうだと思へば嬉しさうだし、頬白がおぢさんにさゝれた時悲しい声だと思つて見れば、ひい／＼いつて鳴いたやうに聞こえたぢやないか。
それでも先生が恐い顔をしておいでなら、そんなものは見ていないで、今お前がいった、そのうつくしい菊の花を見ていたら可いでしょう。	それでも先生が恐い顔をしておいでなら、そんなものは見て居ないで、今お前がいつた、其うつくしい菊の花を見て居たら可でしやう。
ね、そして何かい、学校のお庭に咲いてるのかい。」	ね、そして何かい、学校のお庭に咲いてるのかい。」
「ああ沢山。」	「あゝ沢山。」
「じゃあその菊を見ようと思って学校へおいで。	「ぢやあ其菊を見やうと思つて学校へおいで。
花はね、ものをいわないから耳に聞えないでも、そのかわり眼にはうつくしいよ。」	花にはね、ものをいはないから耳に聞こえないでも、其かはり眼にはうつくしいよ。」
モひとつ不平なのはお天気の悪いことで、戸外には、なかなか雨がやみそうにもない。	モひとつ不平なのはお天気の悪いことで、戸外にはなか／＼雨がやみさうにもない。
五	
また顔を出して窓から川を見た。	また顔を出して窓から川を見た。
さっきは雨脚が繁くって、まるで、薄墨で刷いたよう、堤防だの、石垣だの、蛇籠だの、中洲に草の生えた処だのが、点々、あちらこちらに黒ずんでいて、それで湿っぽくって、暗かったから見えなかったが、少し晴れて来たから、ものの濡れたのが皆見える。	さつきは雨脚が繁くつて、宛然、薄墨で刷いたやう、堤防だの、石垣だの、蛇籠だの、中洲に草の生へた処だのが、点々、彼方此方に黒ずんで居て、それで湿つぽくツて、暗かつたから見えなかつたが、少し晴れて来たからものゝ濡れたのが皆見える。
遠くの方に堤防の下の石垣の中ほどに、置物のようになって、畏って、猿が居る。	遠くの方に堤防の下の石垣の中ほどに、置物のやうになつて、畏つて、猿が居る。
この猿は、誰が持主というのでもない。	この猿は、誰が持主といふのでもない、
細引の麻縄で棒杭に結えつけてあるので、あの、湿地茸が、腰弁当の握飯を半分｜与ったり、坊ちゃんだの、乳母だのが、袂の菓子を分けて与ったり、紅い着物を着ている、みいちゃんの紅雀だの、青い羽織を着ている吉公の目白だの、それからお邸のかなりやの姫様なんぞが、皆で、からかいに行っては、花を持たせる、手拭を被せる、水鉄砲を浴せるという、好きな玩弄物にして、そのかわり何でもたべるものを分けてやるので、誰といって、きまって世話をする、飼主はないのだけれど、猿の餓えることはありはしなかった。	細引の麻繩で棒杭に結えつけてあるので、あの、占治茸が、腰弁当の握飯を半分与つたり、坊ちやんだの、乳母だのが袂の菓子を分けて与つたり、赤い着物を着て居る、みいちやんの紅雀だの、青い羽織を着て居る吉公の目白だの、それからお邸のかなりやの姫様なんぞが、皆で、からかいに行つては、花を持たせる、手拭を被せる、水鉄砲を浴びせるといふ、好きな玩弄物にして、其代何でもたべるものを分けてやるので、誰といつて、きまつて、世話をする、飼主はないのだけれど、猿の餓ゑることはありはしなかつた。
時々｜悪戯をして、その紅雀の天窓の毛をったり、かなりやを引掻いたりすることがあるので、あの猿松が居ては、うっかり可愛らしい小鳥を手放にして戸外へ出してはおけない、誰か見張ってでもいないと、危険だからって、ちょいちょい縄を解いて放してやったことが幾度もあった。	時々悪戯をして、其紅雀の天窓の毛をつたり、かなりやを引掻いたりすることがあるので、あの猿松が居ては、うつかり可愛らしい小鳥を手放にして戸外へ出しては置けない、誰か見張つてでも居ないと、危険だからつて、ちよい／＼繩を解いて放して遣つたことが幾度もあつた。
放すが疾いか、猿は方々を駈ずり廻って勝手放題な道楽をする。	放すが疾いか、猿は方々を駆ずり廻つて勝手放題な道楽をする、


